step, s/batch, lr, train_loss, dev.quc-dev_loss, dev.quc-mcc, dev.quc-f1, dev.quc-precision, dev.quc-recall
0, n/a, 9.8e-07, n/a, 7.269, 0.092, 33.8, 40.9, 28.8
128, 4.14, 0.000125, 4.97, 4.154, 0.236, 51.4, 46.3, 57.8
256, 4.36, 0.00025, 3.03, 3.397, 0.299, 56.1, 48.6, 66.2
384, 3.98, 0.000375, 2.47, 3.189, 0.32, 57.4, 49.4, 68.6
512, 4.48, 0.0005, 2.29, 3.143, 0.327, 57.8, 50.0, 68.3
640, 4.28, 0.000625, 2.07, 3.088, 0.346, 58.9, 51.0, 69.7
768, 4.11, 0.00075, 1.92, 3.025, 0.342, 58.5, 51.3, 68.0
896, 3.99, 0.000875, 1.82, 3.031, 0.353, 59.2, 51.7, 69.0
1024, 4.19, 0.001, 1.74, 3.593, 0.353, 59.0, 52.2, 67.8
1152, 4.48, 0.00098214, 1.68, 2.975, 0.366, 59.9, 52.6, 69.7
1280, 3.99, 0.00096429, 1.74, 3.002, 0.354, 58.9, 52.5, 67.2
1408, 4.15, 0.00094643, 1.61, 2.955, 0.372, 60.3, 52.8, 70.2
1536, 4.15, 0.00092857, 1.62, 2.947, 0.378, 60.7, 53.3, 70.4
1664, 3.8, 0.00091071, 1.58, 2.932, 0.378, 60.6, 53.3, 70.3
1792, 4.04, 0.00089286, 1.53, 2.98, 0.371, 60.2, 53.0, 69.5
1920, 4.03, 0.000875, 1.5, 2.948, 0.362, 59.5, 52.8, 68.3
2048, 3.98, 0.00085714, 1.53, 2.918, 0.38, 60.8, 53.3, 70.6
2176, 3.86, 0.00083929, 1.5, 2.892, 0.376, 60.4, 53.3, 69.9
2304, 4.08, 0.00082143, 1.46, 2.92, 0.383, 60.9, 53.7, 70.3
2432, 3.94, 0.00080357, 1.49, 2.938, 0.397, 61.9, 54.1, 72.2
2560, 4.05, 0.00078571, 1.4, 2.925, 0.378, 60.6, 53.5, 69.7
2688, 3.85, 0.00076786, 1.48, 2.89, 0.384, 61.0, 53.6, 70.7
2816, 3.96, 0.00075, 1.44, 2.898, 0.383, 60.8, 53.7, 70.2
2944, 4.07, 0.00073214, 1.44, 2.863, 0.385, 61.1, 53.5, 71.1
3072, 4.09, 0.00071429, 1.45, 2.863, 0.387, 61.2, 53.8, 70.9
3200, 4.32, 0.00069643, 1.41, 2.834, 0.386, 61.1, 53.7, 70.8
3328, 4.28, 0.00067857, 1.38, 2.843, 0.391, 61.4, 54.0, 71.1
3456, 4.21, 0.00066071, 1.44, 2.83, 0.4, 62.0, 54.3, 72.1
3584, 4.27, 0.00064286, 1.34, 2.852, 0.38, 60.7, 53.5, 70.2
3712, 4.22, 0.000625, 1.38, 2.852, 0.387, 61.1, 54.0, 70.3
3840, 4.17, 0.00060714, 1.36, 2.891, 0.39, 61.3, 54.0, 70.9
3968, 4.08, 0.00058929, 1.39, 2.841, 0.389, 61.3, 53.9, 70.9
4096, 3.86, 0.00057143, 1.33, 2.911, 0.392, 61.4, 54.2, 70.8
4224, 4.07, 0.00055357, 1.31, 2.846, 0.394, 61.6, 54.3, 71.0
4352, 3.99, 0.00053571, 1.36, 2.853, 0.388, 61.1, 54.0, 70.4
4480, 3.83, 0.00051786, 1.35, 2.839, 0.396, 61.7, 54.4, 71.4
4608, 4.05, 0.0005, 1.34, 2.854, 0.387, 61.1, 54.0, 70.3
4736, 4.23, 0.00048214, 1.26, 2.83, 0.396, 61.7, 54.3, 71.3
4864, 4.09, 0.00046429, 1.26, 2.842, 0.393, 61.5, 54.2, 70.9
4992, 3.78, 0.00044643, 1.32, 2.853, 0.39, 61.2, 54.2, 70.4
5120, 3.99, 0.00042857, 1.35, 2.85, 0.389, 61.2, 54.1, 70.6
5248, 3.89, 0.00041071, 1.38, 2.868, 0.397, 61.8, 54.1, 72.1
5376, 4.06, 0.00039286, 1.3, 2.83, 0.392, 61.4, 54.2, 70.8
5504, 4.06, 0.000375, 1.26, 2.831, 0.399, 61.9, 54.4, 71.8
5632, 3.88, 0.00035714, 1.36, 2.841, 0.398, 61.8, 54.5, 71.3
5760, 3.99, 0.00033929, 1.28, 2.842, 0.392, 61.4, 54.2, 70.8
5888, 3.9, 0.00032143, 1.29, 2.842, 0.397, 61.7, 54.4, 71.3
6016, 4.0, 0.00030357, 1.27, 2.811, 0.398, 61.8, 54.6, 71.1
6144, 3.8, 0.00028571, 1.28, 2.831, 0.396, 61.7, 54.3, 71.3
6272, 4.1, 0.00026786, 1.25, 2.835, 0.393, 61.5, 54.3, 70.8
6400, 3.96, 0.00025, 1.19, 2.829, 0.393, 61.5, 54.2, 71.0
6528, 4.0, 0.00023214, 1.26, 2.828, 0.393, 61.4, 54.4, 70.6
6656, 3.93, 0.00021429, 1.28, 2.825, 0.391, 61.3, 54.3, 70.4
6784, 3.99, 0.00019643, 1.26, 2.817, 0.397, 61.7, 54.4, 71.2
6912, 3.87, 0.00017857, 1.33, 2.818, 0.391, 61.3, 54.2, 70.7
7040, 4.11, 0.00016071, 1.25, 2.825, 0.393, 61.5, 54.3, 70.9
7168, 4.12, 0.00014286, 1.25, 2.824, 0.397, 61.7, 54.5, 71.1
7296, 4.12, 0.000125, 1.2, 2.828, 0.396, 61.7, 54.4, 71.2
7424, 3.97, 0.00010714, 1.26, 2.824, 0.397, 61.7, 54.5, 71.2
7552, 3.9, 8.929e-05, 1.24, 2.819, 0.401, 62.0, 54.6, 71.8
7680, 4.12, 7.143e-05, 1.23, 2.814, 0.4, 61.9, 54.5, 71.6
7808, 3.68, 5.357e-05, 1.26, 2.813, 0.398, 61.8, 54.4, 71.4
7936, 3.95, 3.571e-05, 1.25, 2.83, 0.397, 61.7, 54.5, 71.2
8064, 3.98, 1.786e-05, 1.23, 2.819, 0.395, 61.6, 54.4, 71.0
8192, 4.02, 0.0, 1.23, 2.82, 0.4, 61.9, 54.6, 71.3
