step, s/batch, lr, train_loss, dev.quy-dev_loss
0, n/a, 6.3e-07, n/a, 7.672
128, 2.62, 8.125e-05, 6.75, 4.562
256, 2.54, 0.0001625, 4.09, 3.682
384, 2.58, 0.00024375, 3.37, 3.314
512, 2.59, 0.000325, 3.0, 3.213
640, 2.58, 0.00040625, 2.77, 3.211
768, 2.58, 0.0004875, 2.63, 3.021
896, 2.5, 0.00056875, 2.45, 2.937
1024, 2.54, 0.00065, 2.32, 2.9
1152, 2.54, 0.00064458, 2.25, 2.842
1280, 2.61, 0.00063917, 2.19, 2.817
1408, 2.52, 0.00063375, 2.1, 2.796
1536, 2.51, 0.00062833, 2.06, 2.773
1664, 2.54, 0.00062292, 2.03, 2.775
1792, 2.56, 0.0006175, 1.99, 2.757
1920, 2.55, 0.00061208, 1.96, 2.742
2048, 2.52, 0.00060667, 1.93, 2.751
2176, 2.55, 0.00060125, 1.91, 2.745
2304, 2.54, 0.00059583, 1.9, 2.723
2432, 2.57, 0.00059042, 1.87, 2.721
2560, 2.52, 0.000585, 1.87, 2.724
2688, 2.51, 0.00057958, 1.85, 2.723
2816, 2.49, 0.00057417, 1.85, 2.708
2944, 2.51, 0.00056875, 1.81, 2.706
3072, 2.49, 0.00056333, 1.78, 2.711
3200, 2.51, 0.00055792, 1.78, 2.7
3328, 2.47, 0.0005525, 1.75, 2.697
3456, 2.55, 0.00054708, 1.76, 2.681
3584, 2.54, 0.00054167, 1.74, 2.678
3712, 2.57, 0.00053625, 1.74, 2.667
3840, 2.53, 0.00053083, 1.71, 2.675
3968, 2.54, 0.00052542, 1.7, 2.676
4096, 2.56, 0.00052, 1.69, 2.64
4224, 2.52, 0.00051458, 1.67, 2.663
4352, 2.53, 0.00050917, 1.66, 2.659
4480, 2.53, 0.00050375, 1.65, 2.645
4608, 2.52, 0.00049833, 1.65, 2.654
4736, 2.49, 0.00049292, 1.62, 2.641
4864, 2.54, 0.0004875, 1.63, 2.643
4992, 2.5, 0.00048208, 1.6, 2.641
5120, 2.54, 0.00047667, 1.61, 2.639
5248, 2.52, 0.00047125, 1.59, 2.63
5376, 2.54, 0.00046583, 1.6, 2.632
5504, 2.5, 0.00046042, 1.58, 2.633
5632, 2.53, 0.000455, 1.59, 2.622
5760, 2.54, 0.00044958, 1.58, 2.631
5888, 2.52, 0.00044417, 1.57, 2.612
