step, s/batch, lr, train_loss, dev.quc-dev_loss, dev.quc-mcc, dev.quc-f1, dev.quc-precision, dev.quc-recall
0, n/a, 4.9e-07, n/a, 5.87, 0.164, 43.8, 47.8, 40.3
128, 4.13, 6.25e-05, 5.0, 4.803, 0.194, 50.0, 47.1, 53.2
256, 4.13, 0.000125, 3.75, 4.044, 0.263, 54.6, 50.8, 59.0
384, 3.95, 0.0001875, 3.08, 3.65, 0.319, 57.9, 54.0, 62.4
512, 4.38, 0.00025, 2.71, 3.5, 0.347, 59.4, 56.1, 63.2
640, 4.24, 0.0003125, 2.61, 3.459, 0.376, 61.2, 57.7, 65.1
768, 4.01, 0.000375, 2.48, 3.428, 0.378, 60.9, 58.5, 63.6
896, 4.02, 0.0004375, 2.35, 3.387, 0.39, 61.9, 58.9, 65.3
1024, 4.16, 0.0005, 2.25, 3.319, 0.394, 61.8, 59.8, 63.8
1152, 4.02, 0.00049107, 2.18, 3.288, 0.403, 62.3, 60.5, 64.2
1280, 4.21, 0.00048214, 2.08, 3.317, 0.409, 62.4, 61.5, 63.4
1408, 4.25, 0.00047321, 2.15, 3.281, 0.417, 63.0, 61.9, 64.1
1536, 4.15, 0.00046429, 2.05, 3.273, 0.431, 63.7, 63.0, 64.4
1664, 4.09, 0.00045536, 2.01, 3.29, 0.43, 63.6, 63.2, 64.0
1792, 4.01, 0.00044643, 2.07, 3.25, 0.438, 63.7, 64.4, 63.1
1920, 4.02, 0.0004375, 1.98, 3.292, 0.446, 64.4, 64.6, 64.1
2048, 4.06, 0.00042857, 1.92, 3.229, 0.431, 63.2, 64.1, 62.3
2176, 3.98, 0.00041964, 2.01, 3.191, 0.436, 63.4, 64.8, 62.0
2304, 4.0, 0.00041071, 1.98, 3.184, 0.434, 63.2, 64.7, 61.7
2432, 4.03, 0.00040179, 1.81, 3.218, 0.445, 64.1, 65.0, 63.1
2560, 3.89, 0.00039286, 1.89, 3.186, 0.451, 64.5, 65.4, 63.6
2688, 4.14, 0.00038393, 1.89, 3.188, 0.443, 63.7, 65.6, 61.9
2816, 4.16, 0.000375, 1.85, 3.199, 0.445, 63.8, 65.5, 62.3
2944, 3.89, 0.00036607, 1.93, 3.132, 0.451, 64.2, 65.9, 62.7
3072, 3.89, 0.00035714, 1.91, 3.127, 0.445, 63.8, 65.7, 61.9
3200, 4.23, 0.00034821, 1.88, 3.137, 0.446, 63.7, 66.0, 61.6
3328, 4.09, 0.00033929, 1.88, 3.147, 0.449, 64.0, 66.1, 62.1
3456, 3.82, 0.00033036, 1.82, 3.141, 0.447, 63.8, 66.2, 61.5
3584, 4.14, 0.00032143, 1.85, 3.126, 0.445, 63.4, 66.4, 60.7
3712, 4.01, 0.0003125, 1.84, 3.212, 0.451, 63.9, 66.6, 61.3
3840, 4.11, 0.00030357, 1.8, 3.197, 0.448, 63.7, 66.4, 61.3
3968, 4.13, 0.00029464, 1.81, 3.178, 0.448, 63.6, 66.7, 60.7
4096, 3.89, 0.00028571, 1.8, 3.181, 0.448, 63.7, 66.5, 61.2
4224, 4.12, 0.00027679, 1.92, 3.133, 0.448, 63.7, 66.5, 61.1
4352, 4.03, 0.00026786, 1.79, 3.13, 0.452, 63.9, 66.8, 61.2
4480, 4.03, 0.00025893, 1.84, 3.137, 0.448, 63.5, 66.7, 60.6
4608, 3.82, 0.00025, 1.83, 3.13, 0.449, 63.6, 66.8, 60.7
4736, 4.06, 0.00024107, 1.72, 3.145, 0.45, 63.6, 67.0, 60.6
4864, 4.14, 0.00023214, 1.74, 3.123, 0.449, 63.4, 67.1, 60.1
4992, 4.03, 0.00022321, 1.75, 3.106, 0.447, 63.5, 66.7, 60.6
5120, 3.91, 0.00021429, 1.86, 3.11, 0.444, 63.1, 66.8, 59.9
5248, 4.02, 0.00020536, 1.79, 3.093, 0.451, 63.6, 67.2, 60.4
5376, 4.25, 0.00019643, 1.74, 3.144, 0.45, 63.5, 67.2, 60.2
5504, 3.89, 0.0001875, 1.85, 3.135, 0.454, 63.9, 67.2, 60.9
5632, 3.99, 0.00017857, 1.78, 3.102, 0.448, 63.5, 67.0, 60.3
