step, s/batch, lr, train_loss, dev.quc-dev_loss, dev.quc-mcc, dev.quc-f1, dev.quc-precision, dev.quc-recall
0, n/a, 4.9e-07, n/a, 5.697, 0.251, 48.1, 55.4, 42.5
128, 4.5, 6.25e-05, 4.85, 4.758, 0.267, 53.7, 52.2, 55.3
256, 3.96, 0.000125, 3.63, 4.098, 0.349, 60.5, 54.4, 68.0
384, 4.03, 0.0001875, 3.01, 3.905, 0.375, 62.2, 55.4, 70.7
512, 3.95, 0.00025, 2.78, 3.56, 0.406, 63.9, 57.2, 72.5
640, 3.98, 0.0003125, 2.55, 3.399, 0.42, 64.7, 57.8, 73.5
768, 4.24, 0.000375, 2.53, 3.383, 0.418, 64.5, 58.2, 72.3
896, 4.1, 0.0004375, 2.33, 3.407, 0.42, 64.5, 58.5, 72.1
1024, 4.16, 0.0005, 2.3, 3.391, 0.426, 64.7, 59.3, 71.2
1152, 4.07, 0.00049107, 2.19, 3.389, 0.425, 64.6, 59.5, 70.6
1280, 4.19, 0.00048214, 2.19, 3.353, 0.429, 64.7, 60.2, 69.8
1408, 3.98, 0.00047321, 2.15, 3.335, 0.43, 64.9, 59.8, 70.9
1536, 4.29, 0.00046429, 2.1, 3.398, 0.43, 64.7, 60.4, 69.6
1664, 4.03, 0.00045536, 2.01, 3.319, 0.43, 64.5, 60.8, 68.7
1792, 4.27, 0.00044643, 2.11, 3.366, 0.427, 64.4, 60.5, 68.9
1920, 4.09, 0.0004375, 2.07, 3.29, 0.434, 64.7, 61.4, 68.3
2048, 4.37, 0.00042857, 2.03, 3.221, 0.432, 64.6, 61.0, 68.8
2176, 4.23, 0.00041964, 1.88, 3.221, 0.435, 64.7, 61.4, 68.4
2304, 4.18, 0.00041071, 1.99, 3.252, 0.436, 64.8, 61.4, 68.6
2432, 4.24, 0.00040179, 2.06, 3.206, 0.446, 65.3, 62.3, 68.7
2560, 4.12, 0.00039286, 1.88, 3.216, 0.443, 65.1, 62.2, 68.4
2688, 4.27, 0.00038393, 1.93, 3.222, 0.439, 64.9, 61.9, 68.3
2816, 4.29, 0.000375, 1.93, 3.565, 0.439, 64.7, 62.3, 67.4
2944, 4.28, 0.00036607, 2.07, 3.312, 0.441, 65.0, 62.2, 68.0
3072, 4.05, 0.00035714, 1.9, 3.208, 0.443, 65.0, 62.5, 67.6
3200, 4.29, 0.00034821, 1.86, 3.192, 0.454, 65.8, 62.8, 69.1
3328, 3.98, 0.00033929, 1.92, 3.201, 0.45, 65.4, 62.9, 68.2
3456, 3.94, 0.00033036, 1.93, 3.204, 0.452, 65.6, 63.0, 68.4
3584, 4.11, 0.00032143, 1.82, 3.229, 0.45, 65.5, 62.9, 68.3
3712, 4.07, 0.0003125, 1.86, 3.216, 0.443, 64.9, 62.7, 67.3
3840, 3.88, 0.00030357, 1.9, 3.216, 0.453, 65.7, 63.1, 68.4
3968, 4.29, 0.00029464, 1.86, 3.21, 0.451, 65.3, 63.3, 67.5
4096, 4.08, 0.00028571, 1.89, 3.196, 0.453, 65.5, 63.3, 68.0
4224, 4.22, 0.00027679, 1.84, 3.174, 0.458, 65.7, 64.0, 67.6
4352, 4.17, 0.00026786, 1.87, 3.15, 0.46, 65.9, 63.9, 68.1
4480, 4.01, 0.00025893, 1.84, 3.168, 0.461, 66.0, 64.0, 68.1
4608, 4.04, 0.00025, 1.84, 3.189, 0.459, 65.9, 63.9, 67.9
4736, 3.95, 0.00024107, 1.86, 3.157, 0.454, 65.5, 63.7, 67.3
4864, 3.93, 0.00023214, 1.91, 3.186, 0.461, 66.0, 64.0, 68.0
4992, 4.08, 0.00022321, 1.77, 3.323, 0.454, 65.5, 63.5, 67.7
5120, 4.01, 0.00021429, 1.79, 3.205, 0.462, 66.0, 64.2, 67.9
5248, 4.0, 0.00020536, 1.75, 3.188, 0.465, 66.2, 64.2, 68.4
5376, 4.14, 0.00019643, 1.84, 3.207, 0.453, 65.3, 63.9, 66.9
5504, 4.3, 0.0001875, 1.77, 3.208, 0.456, 65.6, 63.9, 67.3
