step, s/batch, lr, train_loss, dev.quc-dev_loss, dev.quc-mcc, dev.quc-f1, dev.quc-precision, dev.quc-recall
0, n/a, 9.8e-07, n/a, 5.693, 0.258, 48.8, 55.7, 43.4
64, 3.91, 6.25e-05, 5.15, 5.069, 0.273, 52.2, 54.5, 50.2
128, 3.94, 0.000125, 4.16, 4.414, 0.307, 56.1, 54.8, 57.5
192, 3.94, 0.0001875, 3.52, 4.001, 0.335, 58.5, 55.5, 61.9
256, 3.94, 0.00025, 3.1, 3.873, 0.356, 59.7, 57.1, 62.5
320, 3.94, 0.0003125, 2.84, 3.771, 0.369, 60.3, 58.2, 62.6
384, 3.95, 0.000375, 2.64, 3.744, 0.38, 60.8, 59.2, 62.5
448, 3.93, 0.0004375, 2.47, 3.742, 0.364, 59.7, 58.4, 61.0
512, 3.94, 0.0005, 2.33, 3.767, 0.349, 58.3, 58.2, 58.4
576, 3.93, 0.00049107, 2.2, 3.769, 0.361, 59.2, 58.6, 59.8
640, 3.91, 0.00048214, 2.09, 3.828, 0.355, 58.5, 58.8, 58.3
704, 3.89, 0.00047321, 2.0, 3.855, 0.354, 58.5, 58.6, 58.5
768, 3.89, 0.00046429, 1.92, 3.845, 0.356, 58.6, 58.7, 58.4
832, 3.91, 0.00045536, 1.86, 3.906, 0.352, 58.1, 58.9, 57.3
896, 3.87, 0.00044643, 1.8, 3.962, 0.345, 57.9, 58.1, 57.7
960, 3.87, 0.0004375, 1.73, 4.001, 0.354, 58.2, 59.2, 57.2
1024, 3.88, 0.00042857, 1.67, 4.068, 0.351, 58.1, 58.7, 57.5
1088, 3.88, 0.00041964, 1.62, 4.066, 0.344, 57.4, 58.7, 56.1
1152, 3.86, 0.00041071, 1.58, 4.11, 0.351, 58.0, 58.8, 57.2
1216, 3.88, 0.00040179, 1.54, 4.151, 0.349, 57.8, 58.9, 56.7
1280, 3.85, 0.00039286, 1.5, 4.142, 0.343, 57.1, 58.8, 55.6
1344, 3.83, 0.00038393, 1.45, 4.208, 0.344, 57.4, 58.7, 56.1
1408, 3.86, 0.000375, 1.43, 4.235, 0.353, 58.1, 59.0, 57.1
1472, 3.85, 0.00036607, 1.39, 4.277, 0.343, 57.1, 59.0, 55.3
1536, 3.86, 0.00035714, 1.35, 4.329, 0.337, 56.7, 58.5, 55.0
