step, s/batch, lr, train_loss, dev.quc-dev_loss, dev.quc-mcc, dev.quc-f1, dev.quc-precision, dev.quc-recall
0, n/a, 2e-07, n/a, 7.249, 0.008, 14.0, 34.4, 8.8
64, 4.02, 1.25e-05, 6.92, 7.161, -0.029, 11.7, 28.5, 7.3
128, 4.1, 2.5e-05, 6.72, 6.828, -0.034, 11.5, 27.9, 7.3
192, 4.05, 3.75e-05, 5.97, 5.437, -0.042, 11.4, 26.8, 7.2
256, 4.05, 5e-05, 4.91, 4.92, 0.048, 25.1, 38.2, 18.7
320, 4.05, 6.25e-05, 4.73, 4.787, 0.041, 25.1, 37.3, 18.9
384, 4.06, 7.5e-05, 4.61, 4.646, 0.035, 25.5, 36.6, 19.6
448, 4.05, 8.75e-05, 4.46, 4.461, 0.031, 25.3, 36.2, 19.5
512, 4.04, 0.0001, 4.27, 4.142, -0.001, 23.7, 33.0, 18.4
576, 4.07, 9.821e-05, 4.02, 3.845, -0.032, 21.3, 29.9, 16.6
640, 4.05, 9.643e-05, 3.81, 3.654, -0.04, 22.7, 29.4, 18.4
704, 4.03, 9.464e-05, 3.66, 3.552, -0.034, 23.0, 29.9, 18.7
768, 4.06, 9.286e-05, 3.54, 3.49, -0.021, 24.4, 31.2, 20.0
832, 4.06, 9.107e-05, 3.45, 3.461, -0.018, 25.2, 31.5, 21.1
896, 4.04, 8.929e-05, 3.37, 3.416, -0.002, 25.4, 32.8, 20.7
960, 4.05, 8.75e-05, 3.3, 3.412, -0.002, 25.8, 32.8, 21.3
1024, 4.05, 8.571e-05, 3.22, 3.391, 0.009, 26.5, 33.9, 21.8
1088, 4.03, 8.393e-05, 3.16, 3.397, 0.012, 26.8, 34.2, 22.1
1152, 4.04, 8.214e-05, 3.1, 3.386, 0.023, 27.8, 35.1, 23.0
1216, 4.04, 8.036e-05, 3.03, 3.415, 0.002, 25.0, 33.3, 20.0
1280, 4.05, 7.857e-05, 2.97, 3.423, 0.045, 30.8, 36.9, 26.4
1344, 4.04, 7.679e-05, 2.91, 3.398, 0.033, 29.5, 35.9, 25.0
1408, 4.05, 7.5e-05, 2.86, 3.415, 0.035, 29.0, 36.2, 24.3
1472, 4.04, 7.321e-05, 2.81, 3.414, 0.03, 28.6, 35.7, 23.8
1536, 4.04, 7.143e-05, 2.76, 3.444, 0.045, 29.6, 37.0, 24.6
1600, 4.03, 6.964e-05, 2.72, 3.447, 0.05, 30.2, 37.4, 25.3
1664, 4.05, 6.786e-05, 2.67, 3.454, 0.039, 29.3, 36.5, 24.5
1728, 4.05, 6.607e-05, 2.63, 3.455, 0.042, 29.6, 36.7, 24.8
1792, 4.04, 6.429e-05, 2.59, 3.488, 0.047, 30.1, 37.2, 25.2
