step, s/batch, lr, train_loss, dev.quc-dev_loss, dev.quc-mcc, dev.quc-f1, dev.quc-precision, dev.quc-recall
0, n/a, 2.4e-07, n/a, 7.697, -0.002, 13.4, 32.7, 8.4
128, 3.87, 3.125e-05, 7.19, 6.976, -0.06, 10.0, 23.9, 6.3
256, 3.93, 6.25e-05, 5.31, 4.886, -0.041, 16.9, 28.3, 12.1
384, 4.11, 9.375e-05, 4.52, 4.478, -0.054, 17.0, 27.0, 12.4
512, 4.17, 0.000125, 4.09, 3.934, -0.058, 18.9, 27.2, 14.4
640, 3.86, 0.00015625, 3.7, 3.542, -0.033, 21.0, 29.8, 16.3
768, 3.77, 0.0001875, 3.39, 3.437, -0.01, 21.8, 32.0, 16.5
896, 3.76, 0.00021875, 3.18, 3.377, 0.003, 23.2, 33.4, 17.8
1024, 3.99, 0.00025, 2.97, 3.352, 0.027, 25.0, 35.8, 19.3
1152, 3.88, 0.00024554, 2.87, 3.323, 0.037, 26.3, 36.7, 20.4
1280, 3.85, 0.00024107, 2.77, 3.286, 0.036, 25.6, 36.8, 19.6
1408, 3.94, 0.00023661, 2.55, 3.29, 0.038, 26.3, 36.8, 20.4
1536, 3.9, 0.00023214, 2.46, 3.257, 0.052, 27.7, 38.1, 21.8
1664, 3.78, 0.00022768, 2.44, 3.249, 0.064, 28.0, 39.4, 21.7
1792, 3.73, 0.00022321, 2.29, 3.2, 0.086, 30.6, 41.3, 24.3
1920, 3.95, 0.00021875, 2.12, 3.214, 0.084, 29.9, 41.3, 23.5
2048, 3.76, 0.00021429, 2.25, 3.226, 0.108, 32.2, 43.3, 25.7
2176, 3.81, 0.00020982, 2.16, 3.188, 0.104, 32.1, 43.0, 25.6
2304, 3.87, 0.00020536, 2.13, 3.204, 0.131, 34.5, 45.2, 27.9
2432, 3.68, 0.00020089, 2.02, 3.139, 0.11, 31.6, 43.8, 24.8
2560, 4.04, 0.00019643, 2.16, 3.109, 0.139, 34.9, 46.0, 28.1
2688, 4.14, 0.00019196, 1.96, 3.106, 0.158, 36.5, 47.7, 29.6
2816, 4.11, 0.0001875, 1.98, 3.079, 0.167, 37.6, 48.3, 30.7
2944, 3.57, 0.00018304, 2.1, 3.099, 0.173, 38.0, 48.8, 31.2
3072, 3.78, 0.00017857, 1.9, 3.067, 0.189, 39.2, 50.2, 32.1
3200, 3.85, 0.00017411, 1.95, 3.062, 0.2, 40.1, 51.1, 33.0
3328, 3.85, 0.00016964, 1.87, 3.057, 0.185, 38.9, 49.9, 31.8
3456, 4.03, 0.00016518, 1.91, 3.035, 0.191, 39.4, 50.3, 32.4
3584, 3.79, 0.00016071, 1.91, 3.026, 0.201, 40.7, 50.8, 34.0
