step, s/batch, lr, train_loss, dev.quy-dev_loss
0, n/a, 5.4e-07, n/a, 7.672
128, 2.76, 6.875e-05, 6.9, 4.819
256, 2.56, 0.0001375, 4.2, 3.786
384, 2.58, 0.00020625, 3.47, 3.367
512, 2.57, 0.000275, 3.07, 3.227
640, 2.56, 0.00034375, 2.83, 3.188
768, 2.54, 0.0004125, 2.69, 3.099
896, 2.53, 0.00048125, 2.52, 2.984
1024, 2.55, 0.00055, 2.39, 2.929
1152, 2.55, 0.00054542, 2.31, 2.857
1280, 2.62, 0.00054083, 2.24, 2.831
1408, 2.53, 0.00053625, 2.15, 2.821
1536, 2.55, 0.00053167, 2.11, 2.789
1664, 2.58, 0.00052708, 2.07, 2.775
1792, 2.54, 0.0005225, 2.03, 2.773
1920, 2.61, 0.00051792, 2.0, 2.755
2048, 2.56, 0.00051333, 1.97, 2.765
2176, 2.56, 0.00050875, 1.95, 2.751
2304, 2.55, 0.00050417, 1.94, 2.723
2432, 2.59, 0.00049958, 1.91, 2.723
2560, 2.56, 0.000495, 1.9, 2.746
2688, 2.54, 0.00049042, 1.88, 2.732
2816, 2.54, 0.00048583, 1.88, 2.71
2944, 2.53, 0.00048125, 1.84, 2.719
3072, 2.52, 0.00047667, 1.82, 2.703
3200, 2.52, 0.00047208, 1.82, 2.727
3328, 2.5, 0.0004675, 1.78, 2.71
3456, 2.59, 0.00046292, 1.8, 2.707
3584, 2.57, 0.00045833, 1.77, 2.694
3712, 2.62, 0.00045375, 1.77, 2.698
3840, 2.59, 0.00044917, 1.73, 2.698
3968, 2.55, 0.00044458, 1.73, 2.683
4096, 2.57, 0.00044, 1.73, 2.65
4224, 2.52, 0.00043542, 1.7, 2.663
4352, 2.55, 0.00043083, 1.69, 2.681
4480, 2.54, 0.00042625, 1.68, 2.658
4608, 2.54, 0.00042167, 1.67, 2.656
4736, 2.5, 0.00041708, 1.65, 2.629
4864, 2.53, 0.0004125, 1.66, 2.653
4992, 2.52, 0.00040792, 1.63, 2.637
5120, 2.53, 0.00040333, 1.64, 2.635
5248, 2.53, 0.00039875, 1.62, 2.647
5376, 2.52, 0.00039417, 1.62, 2.637
5504, 2.51, 0.00038958, 1.61, 2.642
5632, 2.55, 0.000385, 1.62, 2.628
5760, 2.53, 0.00038042, 1.6, 2.649
5888, 2.52, 0.00037583, 1.59, 2.622
6016, 2.52, 0.00037125, 1.57, 2.618
6144, 2.53, 0.00036667, 1.57, 2.641
6272, 2.48, 0.00036208, 1.56, 2.634
6400, 2.51, 0.0003575, 1.56, 2.624
6528, 2.55, 0.00035292, 1.57, 2.632
6656, 2.54, 0.00034833, 1.55, 2.621
6784, 2.51, 0.00034375, 1.55, 2.624
6912, 2.55, 0.00033917, 1.53, 2.623
7040, 2.52, 0.00033458, 1.53, 2.623
7168, 2.52, 0.00033, 1.54, 2.616
7296, 2.54, 0.00032542, 1.56, 2.617
7424, 2.5, 0.00032083, 1.52, 2.61
7552, 2.52, 0.00031625, 1.53, 2.596
7680, 2.53, 0.00031167, 1.51, 2.616
7808, 2.52, 0.00030708, 1.51, 2.611
7936, 2.47, 0.0003025, 1.5, 2.629
8064, 2.55, 0.00029792, 1.51, 2.604
8192, 2.48, 0.00029333, 1.51, 2.607
8320, 2.51, 0.00028875, 1.51, 2.624
8448, 2.54, 0.00028417, 1.51, 2.607
8576, 2.53, 0.00027958, 1.51, 2.612
8704, 2.55, 0.000275, 1.49, 2.6
