step, s/batch, lr, train_loss, dev.quc-dev_loss, dev.quc-mcc, dev.quc-f1, dev.quc-precision, dev.quc-recall
0, n/a, 9.8e-07, n/a, 7.269, 0.092, 33.8, 40.9, 28.8
128, 4.13, 0.000125, 4.99, 4.126, 0.243, 51.8, 46.9, 57.8
256, 4.3, 0.00025, 3.06, 3.437, 0.3, 56.1, 48.8, 65.9
384, 4.27, 0.000375, 2.38, 3.232, 0.322, 57.4, 50.0, 67.3
512, 4.12, 0.0005, 2.15, 3.162, 0.34, 58.5, 50.8, 68.8
640, 4.23, 0.000625, 1.93, 3.142, 0.344, 58.4, 51.6, 67.3
768, 4.41, 0.00075, 1.98, 3.044, 0.361, 59.6, 52.4, 68.9
896, 4.23, 0.000875, 1.85, 3.012, 0.355, 59.0, 52.6, 67.1
1024, 4.07, 0.001, 1.86, 3.032, 0.371, 60.1, 53.3, 68.8
1152, 4.35, 0.00098214, 1.67, 2.966, 0.377, 60.4, 53.6, 69.4
1280, 4.31, 0.00096429, 1.73, 3.038, 0.395, 61.6, 54.2, 71.4
1408, 4.17, 0.00094643, 1.65, 3.016, 0.391, 61.3, 54.3, 70.3
1536, 4.05, 0.00092857, 1.62, 2.922, 0.401, 62.0, 54.5, 71.8
1664, 4.15, 0.00091071, 1.57, 2.994, 0.394, 61.4, 54.7, 70.1
1792, 4.15, 0.00089286, 1.49, 2.952, 0.413, 62.7, 55.1, 72.7
1920, 4.03, 0.000875, 1.59, 2.988, 0.399, 61.7, 55.0, 70.3
2048, 4.18, 0.00085714, 1.54, 2.897, 0.4, 61.8, 55.1, 70.4
2176, 4.14, 0.00083929, 1.36, 2.939, 0.397, 61.6, 55.0, 69.8
2304, 4.13, 0.00082143, 1.48, 2.886, 0.403, 61.9, 55.2, 70.5
2432, 4.04, 0.00080357, 1.56, 2.945, 0.401, 61.9, 55.0, 70.8
2560, 4.18, 0.00078571, 1.41, 2.88, 0.405, 62.1, 55.3, 70.8
2688, 4.2, 0.00076786, 1.49, 2.944, 0.404, 62.1, 55.2, 70.9
2816, 4.1, 0.00075, 1.47, 2.859, 0.405, 62.1, 55.4, 70.7
2944, 3.97, 0.00073214, 1.38, 2.959, 0.414, 62.6, 55.7, 71.5
3072, 4.32, 0.00071429, 1.4, 2.856, 0.408, 62.2, 55.5, 70.9
3200, 4.26, 0.00069643, 1.36, 2.862, 0.406, 62.2, 55.4, 70.9
