step, s/batch, lr, train_loss, dev.quy-dev_loss
0, n/a, 6.8e-07, n/a, 7.672
128, 2.6, 8.75e-05, 6.69, 4.482
256, 2.56, 0.000175, 4.04, 3.647
384, 2.55, 0.0002625, 3.3, 3.3
512, 2.61, 0.00035, 2.95, 3.193
640, 2.55, 0.0004375, 2.72, 3.06
768, 2.53, 0.000525, 2.57, 2.978
896, 2.53, 0.0006125, 2.39, 2.912
1024, 2.55, 0.0007, 2.27, 2.875
1152, 2.54, 0.00069417, 2.21, 2.824
1280, 2.6, 0.00068833, 2.16, 2.809
1408, 2.52, 0.0006825, 2.07, 2.785
1536, 2.49, 0.00067667, 2.03, 2.774
1664, 2.52, 0.00067083, 2.0, 2.776
1792, 2.54, 0.000665, 1.96, 2.74
1920, 2.54, 0.00065917, 1.93, 2.737
2048, 2.5, 0.00065333, 1.9, 2.742
2176, 2.55, 0.0006475, 1.88, 2.744
2304, 2.52, 0.00064167, 1.87, 2.719
2432, 2.59, 0.00063583, 1.85, 2.709
2560, 2.56, 0.00063, 1.83, 2.76
2688, 2.53, 0.00062417, 1.81, 2.699
2816, 2.5, 0.00061833, 1.8, 2.693
2944, 2.53, 0.0006125, 1.75, 2.681
3072, 2.5, 0.00060667, 1.72, 2.675
3200, 2.53, 0.00060083, 1.72, 2.666
3328, 2.49, 0.000595, 1.69, 2.676
3456, 2.56, 0.00058917, 1.7, 2.678
3584, 2.53, 0.00058333, 1.68, 2.662
3712, 2.6, 0.0005775, 1.68, 2.66
3840, 2.54, 0.00057167, 1.64, 2.657
3968, 2.52, 0.00056583, 1.63, 2.644
4096, 2.52, 0.00056, 1.63, 2.625
4224, 2.5, 0.00055417, 1.61, 2.633
4352, 2.51, 0.00054833, 1.6, 2.642
4480, 2.53, 0.0005425, 1.59, 2.625
4608, 2.5, 0.00053667, 1.59, 2.63
4736, 2.51, 0.00053083, 1.56, 2.623
4864, 2.54, 0.000525, 1.57, 2.627
4992, 2.49, 0.00051917, 1.54, 2.626
5120, 2.51, 0.00051333, 1.55, 2.623
5248, 2.53, 0.0005075, 1.54, 2.619
5376, 2.53, 0.00050167, 1.54, 2.621
5504, 2.5, 0.00049583, 1.52, 2.613
5632, 2.54, 0.00049, 1.54, 2.616
5760, 2.53, 0.00048417, 1.52, 2.625
5888, 2.49, 0.00047833, 1.51, 2.605
6016, 2.51, 0.0004725, 1.49, 2.601
6144, 2.51, 0.00046667, 1.48, 2.622
6272, 2.49, 0.00046083, 1.48, 2.61
6400, 2.52, 0.000455, 1.49, 2.61
6528, 2.58, 0.00044917, 1.48, 2.613
6656, 2.55, 0.00044333, 1.47, 2.602
6784, 2.48, 0.0004375, 1.47, 2.602
6912, 2.51, 0.00043167, 1.45, 2.611
7040, 2.5, 0.00042583, 1.45, 2.612
7168, 2.51, 0.00042, 1.46, 2.598
7296, 2.57, 0.00041417, 1.48, 2.593
7424, 2.53, 0.00040833, 1.45, 2.584
7552, 2.51, 0.0004025, 1.45, 2.582
7680, 2.49, 0.00039667, 1.43, 2.607
7808, 2.53, 0.00039083, 1.43, 2.597
7936, 2.47, 0.000385, 1.42, 2.604
8064, 2.54, 0.00037917, 1.43, 2.585
8192, 2.47, 0.00037333, 1.43, 2.601
8320, 2.46, 0.0003675, 1.43, 2.602
8448, 2.5, 0.00036167, 1.43, 2.581
8576, 2.51, 0.00035583, 1.44, 2.587
8704, 2.53, 0.00035, 1.41, 2.577
8832, 2.52, 0.00034417, 1.41, 2.604
8960, 2.53, 0.00033833, 1.41, 2.585
9088, 2.49, 0.0003325, 1.4, 2.59
9216, 2.49, 0.00032667, 1.41, 2.582
9344, 2.52, 0.00032083, 1.41, 2.581
9472, 2.48, 0.000315, 1.39, 2.572
9600, 2.47, 0.00030917, 1.41, 2.575
9728, 2.54, 0.00030333, 1.39, 2.586
9856, 2.52, 0.0002975, 1.4, 2.587
9984, 2.5, 0.00029167, 1.4, 2.602
10112, 2.49, 0.00028583, 1.39, 2.579
10240, 2.43, 0.00028, 1.38, 2.6
10368, 2.52, 0.00027417, 1.37, 2.582
10496, 2.53, 0.00026833, 1.39, 2.595
10624, 2.48, 0.0002625, 1.38, 2.583
10752, 2.51, 0.00025667, 1.39, 2.591
10880, 2.49, 0.00025083, 1.38, 2.581
11008, 2.48, 0.000245, 1.37, 2.586
11136, 2.54, 0.00023917, 1.37, 2.576
11264, 2.48, 0.00023333, 1.35, 2.582
11392, 2.42, 0.0002275, 1.36, 2.572
11520, 2.49, 0.00022167, 1.37, 2.586
11648, 2.56, 0.00021583, 1.36, 2.567
11776, 2.51, 0.00021, 1.37, 2.577
11904, 2.44, 0.00020417, 1.37, 2.58
12032, 2.52, 0.00019833, 1.36, 2.567
12160, 2.52, 0.0001925, 1.36, 2.574
12288, 2.52, 0.00018667, 1.36, 2.579
12416, 2.48, 0.00018083, 1.37, 2.577
12544, 2.43, 0.000175, 1.36, 2.581
12672, 2.45, 0.00016917, 1.34, 2.578
12800, 2.48, 0.00016333, 1.34, 2.565
12928, 2.56, 0.0001575, 1.35, 2.571
13056, 2.5, 0.00015167, 1.35, 2.569
13184, 2.5, 0.00014583, 1.36, 2.574
13312, 2.46, 0.00014, 1.34, 2.581
13440, 2.53, 0.00013417, 1.34, 2.578
13568, 2.45, 0.00012833, 1.35, 2.582
13696, 2.46, 0.0001225, 1.34, 2.576
13824, 2.49, 0.00011667, 1.35, 2.57
13952, 2.43, 0.00011083, 1.33, 2.579
14080, 2.54, 0.000105, 1.35, 2.573
14208, 2.49, 9.917e-05, 1.34, 2.575
14336, 2.53, 9.333e-05, 1.32, 2.582
14464, 2.5, 8.75e-05, 1.34, 2.58
14592, 2.49, 8.167e-05, 1.32, 2.582
14720, 2.54, 7.583e-05, 1.33, 2.572
14848, 2.56, 7e-05, 1.34, 2.575
14976, 2.49, 6.417e-05, 1.33, 2.567
15104, 2.47, 5.833e-05, 1.33, 2.572
15232, 2.52, 5.25e-05, 1.34, 2.578
15360, 2.47, 4.667e-05, 1.33, 2.575
