step, s/batch, lr, train_loss, dev.quy-dev_loss
0, n/a, 5.4e-07, n/a, 7.672
128, 2.62, 6.875e-05, 6.91, 4.833
256, 2.57, 0.0001375, 4.2, 3.794
384, 2.6, 0.00020625, 3.46, 3.357
512, 2.59, 0.000275, 3.05, 3.241
640, 2.57, 0.00034375, 2.82, 3.145
768, 2.55, 0.0004125, 2.66, 3.04
896, 2.47, 0.00048125, 2.5, 2.967
1024, 2.48, 0.00055, 2.37, 2.917
1152, 2.5, 0.00054542, 2.3, 2.875
1280, 2.54, 0.00054083, 2.24, 2.835
1408, 2.49, 0.00053625, 2.14, 2.812
1536, 2.47, 0.00053167, 2.09, 2.799
1664, 2.51, 0.00052708, 2.05, 2.792
1792, 2.49, 0.0005225, 2.01, 2.761
1920, 2.54, 0.00051792, 1.98, 2.756
2048, 2.5, 0.00051333, 1.94, 2.753
2176, 2.5, 0.00050875, 1.91, 2.767
2304, 2.52, 0.00050417, 1.89, 2.722
2432, 2.53, 0.00049958, 1.86, 2.701
2560, 2.52, 0.000495, 1.83, 2.695
2688, 2.49, 0.00049042, 1.8, 2.69
2816, 2.5, 0.00048583, 1.79, 2.672
2944, 2.47, 0.00048125, 1.75, 2.673
3072, 2.48, 0.00047667, 1.71, 2.653
3200, 2.48, 0.00047208, 1.71, 2.68
3328, 2.47, 0.0004675, 1.68, 2.653
3456, 2.55, 0.00046292, 1.69, 2.657
3584, 2.51, 0.00045833, 1.67, 2.652
3712, 2.54, 0.00045375, 1.67, 2.644
3840, 2.54, 0.00044917, 1.63, 2.634
3968, 2.5, 0.00044458, 1.62, 2.64
4096, 2.53, 0.00044, 1.62, 2.62
4224, 2.49, 0.00043542, 1.6, 2.62
4352, 2.51, 0.00043083, 1.59, 2.626
4480, 2.5, 0.00042625, 1.58, 2.618
4608, 2.51, 0.00042167, 1.58, 2.605
4736, 2.5, 0.00041708, 1.56, 2.613
4864, 2.52, 0.0004125, 1.57, 2.617
4992, 2.49, 0.00040792, 1.54, 2.615
5120, 2.5, 0.00040333, 1.55, 2.617
5248, 2.53, 0.00039875, 1.54, 2.623
5376, 2.51, 0.00039417, 1.54, 2.617
5504, 2.48, 0.00038958, 1.53, 2.61
5632, 2.54, 0.000385, 1.54, 2.612
5760, 2.53, 0.00038042, 1.52, 2.61
5888, 2.49, 0.00037583, 1.51, 2.605
6016, 2.5, 0.00037125, 1.49, 2.603
6144, 2.5, 0.00036667, 1.49, 2.62
6272, 2.45, 0.00036208, 1.48, 2.604
6400, 2.51, 0.0003575, 1.49, 2.605
6528, 2.53, 0.00035292, 1.49, 2.609
6656, 2.51, 0.00034833, 1.47, 2.601
6784, 2.48, 0.00034375, 1.47, 2.6
6912, 2.52, 0.00033917, 1.46, 2.597
7040, 2.5, 0.00033458, 1.46, 2.607
7168, 2.52, 0.00033, 1.47, 2.586
7296, 2.52, 0.00032542, 1.48, 2.594
7424, 2.53, 0.00032083, 1.45, 2.582
7552, 2.55, 0.00031625, 1.45, 2.585
7680, 2.53, 0.00031167, 1.43, 2.599
7808, 2.52, 0.00030708, 1.43, 2.594
7936, 2.52, 0.0003025, 1.43, 2.605
8064, 2.61, 0.00029792, 1.44, 2.593
8192, 2.51, 0.00029333, 1.43, 2.592
8320, 2.55, 0.00028875, 1.44, 2.598
8448, 2.56, 0.00028417, 1.44, 2.586
8576, 2.57, 0.00027958, 1.44, 2.597
8704, 2.6, 0.000275, 1.42, 2.588
8832, 2.58, 0.00027042, 1.42, 2.603
8960, 2.54, 0.00026583, 1.42, 2.579
9088, 2.52, 0.00026125, 1.4, 2.591
