step, s/batch, lr, train_loss, dev.quc-dev_loss, dev.quc-mcc, dev.quc-f1, dev.quc-precision, dev.quc-recall
0, n/a, 4.9e-07, n/a, 5.873, 0.173, 44.7, 48.2, 41.6
64, 3.72, 3.125e-05, 5.46, 5.507, 0.203, 48.5, 49.1, 47.9
128, 3.71, 6.25e-05, 4.76, 4.861, 0.219, 50.1, 49.6, 50.6
192, 3.7, 9.375e-05, 4.12, 4.317, 0.261, 52.5, 52.7, 52.4
256, 3.71, 0.000125, 3.63, 4.043, 0.319, 55.9, 56.8, 55.0
320, 3.7, 0.00015625, 3.29, 3.836, 0.336, 56.8, 58.1, 55.6
384, 3.69, 0.0001875, 3.05, 3.677, 0.347, 57.3, 59.2, 55.5
448, 3.69, 0.00021875, 2.87, 3.62, 0.368, 58.3, 61.3, 55.5
512, 3.69, 0.00025, 2.73, 3.578, 0.369, 58.1, 61.6, 55.0
576, 3.69, 0.00024554, 2.61, 3.569, 0.375, 58.4, 62.2, 55.1
640, 3.7, 0.00024107, 2.52, 3.578, 0.378, 58.5, 62.8, 54.7
704, 3.71, 0.00023661, 2.45, 3.552, 0.375, 58.2, 62.6, 54.3
768, 3.69, 0.00023214, 2.39, 3.567, 0.382, 58.6, 63.2, 54.7
832, 3.7, 0.00022768, 2.34, 3.595, 0.374, 58.0, 62.7, 54.0
896, 3.7, 0.00022321, 2.29, 3.583, 0.374, 57.8, 62.9, 53.5
960, 3.69, 0.00021875, 2.25, 3.584, 0.375, 57.8, 63.2, 53.2
1024, 3.69, 0.00021429, 2.21, 3.584, 0.372, 57.6, 62.9, 53.1
1088, 3.7, 0.00020982, 2.17, 3.6, 0.376, 57.7, 63.5, 52.8
1152, 3.7, 0.00020536, 2.14, 3.604, 0.368, 57.1, 63.1, 52.1
1216, 3.69, 0.00020089, 2.1, 3.614, 0.371, 57.3, 63.3, 52.3
1280, 3.76, 0.00019643, 2.07, 3.628, 0.374, 57.3, 63.7, 52.0
1344, 3.75, 0.00019196, 2.04, 3.613, 0.366, 56.8, 63.1, 51.6
1408, 3.7, 0.0001875, 2.01, 3.581, 0.376, 57.3, 64.1, 51.7
1472, 3.64, 0.00018304, 1.99, 3.632, 0.377, 57.3, 64.2, 51.7
1536, 3.64, 0.00017857, 1.96, 3.641, 0.369, 56.7, 63.8, 51.0
