step, s/batch, lr, train_loss, dev.quc-dev_loss, dev.quc-mcc, dev.quc-f1, dev.quc-precision, dev.quc-recall
0, n/a, 2e-07, n/a, 7.26, -0.02, 12.3, 32.6, 7.6
64, 3.73, 1.25e-05, 6.87, 7.188, -0.039, 11.1, 29.6, 6.9
128, 3.88, 2.5e-05, 6.69, 6.886, -0.066, 9.6, 25.4, 5.9
192, 3.9, 3.75e-05, 5.93, 5.411, -0.084, 10.5, 23.8, 6.8
256, 3.58, 5e-05, 4.8, 4.963, -0.069, 18.3, 28.5, 13.4
320, 3.88, 6.25e-05, 4.62, 4.844, -0.059, 20.0, 29.8, 15.0
384, 3.74, 7.5e-05, 4.52, 4.733, -0.07, 19.6, 28.8, 14.8
448, 3.79, 8.75e-05, 4.39, 4.588, -0.086, 19.9, 27.6, 15.6
512, 3.78, 0.0001, 4.22, 4.426, -0.089, 20.6, 27.6, 16.4
576, 3.74, 9.821e-05, 4.07, 4.246, -0.076, 22.4, 29.1, 18.2
640, 3.82, 9.643e-05, 3.94, 4.125, -0.043, 25.2, 32.1, 20.7
704, 3.84, 9.464e-05, 3.81, 3.907, -0.087, 22.0, 28.2, 18.0
768, 3.75, 9.286e-05, 3.73, 3.802, -0.079, 23.0, 29.0, 19.0
832, 3.81, 9.107e-05, 3.64, 3.76, -0.09, 22.0, 28.0, 18.1
896, 3.75, 8.929e-05, 3.6, 3.743, -0.094, 21.8, 27.7, 18.0
960, 3.82, 8.75e-05, 3.54, 3.704, -0.102, 20.7, 26.7, 16.8
1024, 3.66, 8.571e-05, 3.49, 3.672, -0.098, 21.5, 27.3, 17.7
1088, 3.8, 8.393e-05, 3.45, 3.679, -0.1, 21.3, 27.1, 17.6
1152, 3.88, 8.214e-05, 3.41, 3.667, -0.104, 21.0, 26.7, 17.3
1216, 3.66, 8.036e-05, 3.36, 3.622, -0.111, 20.5, 26.1, 16.9
1280, 3.86, 7.857e-05, 3.33, 3.596, -0.113, 20.1, 25.8, 16.5
1344, 3.76, 7.679e-05, 3.29, 3.636, -0.107, 21.1, 26.6, 17.5
1408, 3.78, 7.5e-05, 3.26, 3.626, -0.105, 21.2, 26.8, 17.5
1472, 3.83, 7.321e-05, 3.22, 3.601, -0.106, 21.0, 26.6, 17.3
1536, 3.77, 7.143e-05, 3.19, 3.618, -0.113, 20.2, 25.9, 16.6
1600, 3.78, 6.964e-05, 3.14, 3.601, -0.105, 20.8, 26.6, 17.0
