step, s/batch, lr, train_loss, dev.quy-dev_loss
0, n/a, 7.8e-07, n/a, 7.672
128, 2.62, 0.0001, 6.56, 4.366
256, 2.56, 0.0002, 3.96, 3.573
384, 2.56, 0.0003, 3.23, 3.262
512, 2.59, 0.0004, 2.9, 3.22
640, 2.57, 0.0005, 2.68, 3.054
768, 2.56, 0.0006, 2.53, 2.971
896, 2.52, 0.0007, 2.35, 2.882
1024, 2.55, 0.0008, 2.24, 2.875
1152, 2.56, 0.00079333, 2.18, 2.807
1280, 2.62, 0.00078667, 2.13, 2.798
1408, 2.55, 0.00078, 2.05, 2.786
1536, 2.52, 0.00077333, 2.01, 2.748
1664, 2.53, 0.00076667, 1.98, 2.748
1792, 2.54, 0.00076, 1.95, 2.728
1920, 2.57, 0.00075333, 1.93, 2.722
2048, 2.52, 0.00074667, 1.89, 2.741
2176, 2.55, 0.00074, 1.88, 2.76
2304, 2.54, 0.00073333, 1.88, 2.72
2432, 2.58, 0.00072667, 1.85, 2.7
2560, 2.56, 0.00072, 1.84, 2.753
2688, 2.53, 0.00071333, 1.82, 2.701
2816, 2.53, 0.00070667, 1.83, 2.695
2944, 2.52, 0.0007, 1.79, 2.698
3072, 2.52, 0.00069333, 1.76, 2.694
3200, 2.54, 0.00068667, 1.76, 2.698
3328, 2.5, 0.00068, 1.73, 2.689
3456, 2.59, 0.00067333, 1.74, 2.689
3584, 2.54, 0.00066667, 1.71, 2.677
3712, 2.59, 0.00066, 1.72, 2.681
3840, 2.57, 0.00065333, 1.69, 2.668
3968, 2.53, 0.00064667, 1.68, 2.668
4096, 2.57, 0.00064, 1.68, 2.639
4224, 2.52, 0.00063333, 1.65, 2.655
4352, 2.53, 0.00062667, 1.65, 2.662
4480, 2.54, 0.00062, 1.63, 2.644
4608, 2.53, 0.00061333, 1.63, 2.64
4736, 2.52, 0.00060667, 1.61, 2.623
4864, 2.56, 0.0006, 1.61, 2.632
4992, 2.52, 0.00059333, 1.58, 2.621
5120, 2.56, 0.00058667, 1.59, 2.619
5248, 2.54, 0.00058, 1.58, 2.623
5376, 2.54, 0.00057333, 1.58, 2.625
5504, 2.51, 0.00056667, 1.56, 2.621
5632, 2.55, 0.00056, 1.57, 2.605
5760, 2.54, 0.00055333, 1.55, 2.632
5888, 2.52, 0.00054667, 1.54, 2.6
6016, 2.53, 0.00054, 1.52, 2.607
6144, 2.55, 0.00053333, 1.52, 2.624
6272, 2.49, 0.00052667, 1.51, 2.607
6400, 2.52, 0.00052, 1.51, 2.606
6528, 2.57, 0.00051333, 1.51, 2.616
6656, 2.54, 0.00050667, 1.5, 2.597
6784, 2.51, 0.0005, 1.5, 2.603
6912, 2.55, 0.00049333, 1.48, 2.612
7040, 2.52, 0.00048667, 1.48, 2.597
7168, 2.54, 0.00048, 1.49, 2.606
7296, 2.54, 0.00047333, 1.51, 2.597
7424, 2.52, 0.00046667, 1.47, 2.577
7552, 2.54, 0.00046, 1.47, 2.584
7680, 2.55, 0.00045333, 1.46, 2.595
7808, 2.54, 0.00044667, 1.46, 2.598
7936, 2.48, 0.00044, 1.45, 2.614
8064, 2.57, 0.00043333, 1.46, 2.582
8192, 2.5, 0.00042667, 1.45, 2.588
8320, 2.51, 0.00042, 1.46, 2.597
8448, 2.54, 0.00041333, 1.45, 2.585
8576, 2.54, 0.00040667, 1.46, 2.592
8704, 2.56, 0.0004, 1.44, 2.585
8832, 2.55, 0.00039333, 1.44, 2.603
8960, 2.51, 0.00038667, 1.44, 2.587
