step, s/batch, lr, train_loss, dev.quc-dev_loss, dev.quc-mcc, dev.quc-f1, dev.quc-precision, dev.quc-recall
0, n/a, 7.3e-07, n/a, 7.697, -0.002, 13.4, 32.7, 8.4
128, 4.22, 9.375e-05, 6.55, 5.023, -0.067, 14.4, 25.1, 10.1
256, 4.26, 0.0001875, 4.51, 4.291, -0.064, 16.8, 26.1, 12.4
384, 4.09, 0.00028125, 3.8, 3.578, -0.017, 22.4, 31.4, 17.5
512, 4.16, 0.000375, 3.38, 3.369, 0.023, 23.7, 35.5, 17.8
640, 3.85, 0.00046875, 3.15, 3.321, 0.04, 24.4, 37.3, 18.1
768, 3.77, 0.0005625, 2.87, 3.352, 0.068, 26.9, 40.3, 20.2
896, 3.76, 0.00065625, 2.69, 3.322, 0.082, 27.3, 41.9, 20.2
1024, 4.04, 0.00075, 2.51, 3.278, 0.127, 30.8, 46.5, 23.0
1152, 3.98, 0.00073661, 2.47, 3.228, 0.203, 37.4, 53.7, 28.7
1280, 3.92, 0.00072321, 2.39, 3.223, 0.201, 36.6, 54.0, 27.7
1408, 4.03, 0.00070982, 2.17, 3.223, 0.211, 37.5, 54.9, 28.5
1536, 3.91, 0.00069643, 2.13, 3.267, 0.241, 39.5, 58.1, 30.0
1664, 3.92, 0.00068304, 2.13, 3.169, 0.327, 47.8, 64.3, 38.0
1792, 4.04, 0.00066964, 1.98, 3.09, 0.368, 51.2, 67.4, 41.3
1920, 4.05, 0.00065625, 1.84, 3.172, 0.365, 51.1, 66.9, 41.4
2048, 3.8, 0.00064286, 2.0, 3.097, 0.429, 56.2, 72.0, 46.1
2176, 3.84, 0.00062946, 1.9, 3.075, 0.43, 56.8, 71.3, 47.2
2304, 3.89, 0.00061607, 1.89, 3.113, 0.437, 57.0, 72.5, 46.9
2432, 3.7, 0.00060268, 1.79, 3.025, 0.447, 58.0, 72.7, 48.3
2560, 4.07, 0.00058929, 1.92, 3.029, 0.456, 59.1, 72.7, 49.7
2688, 4.25, 0.00057589, 1.73, 3.015, 0.463, 59.3, 74.0, 49.4
2816, 4.23, 0.0005625, 1.74, 2.961, 0.487, 61.4, 75.2, 51.8
2944, 3.66, 0.00054911, 1.87, 3.045, 0.477, 60.8, 74.3, 51.4
