step, s/batch, lr, train_loss, dev.quc-dev_loss, dev.quc-mcc, dev.quc-f1, dev.quc-precision, dev.quc-recall
0, n/a, 1e-07, n/a, 5.87, 0.164, 43.8, 47.8, 40.3
128, 4.08, 1.25e-05, 5.44, 5.526, 0.183, 46.9, 48.0, 45.9
256, 4.1, 2.5e-05, 4.68, 4.9, 0.187, 49.4, 46.8, 52.4
384, 3.97, 3.75e-05, 4.09, 4.505, 0.214, 51.5, 48.1, 55.3
512, 4.36, 5e-05, 3.63, 4.214, 0.244, 53.5, 49.6, 58.0
640, 4.29, 6.25e-05, 3.33, 3.992, 0.266, 54.9, 50.8, 59.6
768, 3.95, 7.5e-05, 3.08, 3.834, 0.302, 56.9, 53.0, 61.5
896, 4.01, 8.75e-05, 2.88, 3.726, 0.324, 58.4, 54.0, 63.6
1024, 4.05, 0.0001, 2.73, 3.628, 0.337, 59.2, 54.8, 64.4
1152, 4.0, 9.821e-05, 2.63, 3.52, 0.348, 59.8, 55.5, 64.9
1280, 4.18, 9.643e-05, 2.52, 3.514, 0.357, 60.3, 56.2, 65.0
1408, 4.23, 9.464e-05, 2.56, 3.465, 0.365, 60.8, 56.5, 65.8
1536, 4.17, 9.286e-05, 2.46, 3.45, 0.368, 60.8, 57.0, 65.3
1664, 4.08, 9.107e-05, 2.42, 3.453, 0.377, 61.3, 57.6, 65.5
1792, 4.01, 8.929e-05, 2.45, 3.43, 0.38, 61.5, 57.7, 66.0
1920, 4.03, 8.75e-05, 2.36, 3.381, 0.376, 61.3, 57.5, 65.7
2048, 4.0, 8.571e-05, 2.29, 3.386, 0.389, 62.1, 58.2, 66.6
2176, 4.02, 8.393e-05, 2.37, 3.366, 0.384, 61.8, 58.0, 66.0
2304, 3.96, 8.214e-05, 2.34, 3.35, 0.385, 61.8, 58.2, 65.8
2432, 4.03, 8.036e-05, 2.17, 3.35, 0.383, 61.6, 58.2, 65.4
2560, 3.89, 7.857e-05, 2.25, 3.365, 0.386, 61.7, 58.5, 65.3
2688, 4.27, 7.679e-05, 2.24, 3.345, 0.391, 62.1, 58.7, 65.8
2816, 4.32, 7.5e-05, 2.18, 3.368, 0.392, 62.1, 58.9, 65.7
2944, 3.96, 7.321e-05, 2.27, 3.331, 0.394, 62.2, 59.1, 65.6
3072, 3.87, 7.143e-05, 2.24, 3.322, 0.397, 62.3, 59.3, 65.6
3200, 4.22, 6.964e-05, 2.21, 3.326, 0.394, 62.1, 59.1, 65.4
3328, 4.06, 6.786e-05, 2.19, 3.326, 0.396, 62.2, 59.3, 65.4
3456, 3.9, 6.607e-05, 2.14, 3.301, 0.396, 62.3, 59.3, 65.6
3584, 4.1, 6.429e-05, 2.17, 3.324, 0.396, 62.2, 59.4, 65.3
3712, 3.97, 6.25e-05, 2.15, 3.3, 0.402, 62.7, 59.6, 66.1
