step, s/batch, lr, train_loss, dev.quy-dev_loss
0, n/a, 7.8e-07, n/a, 7.672
128, 2.66, 0.0001, 6.56, 4.364
256, 2.57, 0.0002, 3.95, 3.564
384, 2.62, 0.0003, 3.25, 3.269
512, 2.62, 0.0004, 2.91, 3.22
640, 2.61, 0.0005, 2.69, 3.056
768, 2.57, 0.0006, 2.54, 2.971
896, 2.55, 0.0007, 2.37, 2.892
1024, 2.58, 0.0008, 2.26, 2.855
1152, 2.59, 0.00079333, 2.21, 2.828
1280, 2.66, 0.00078667, 2.16, 2.807
1408, 2.58, 0.00078, 2.07, 2.799
1536, 2.55, 0.00077333, 2.04, 2.762
1664, 2.55, 0.00076667, 2.01, 2.758
1792, 2.54, 0.00076, 1.97, 2.752
1920, 2.57, 0.00075333, 1.95, 2.736
2048, 2.53, 0.00074667, 1.92, 2.75
2176, 2.55, 0.00074, 1.89, 3.008
2304, 2.53, 0.00073333, 1.9, 2.719
2432, 2.6, 0.00072667, 1.87, 2.703
2560, 2.56, 0.00072, 1.86, 2.746
2688, 2.53, 0.00071333, 1.85, 2.713
2816, 2.53, 0.00070667, 1.85, 2.711
2944, 2.53, 0.0007, 1.82, 2.716
3072, 2.53, 0.00069333, 1.8, 2.701
3200, 2.55, 0.00068667, 1.81, 2.717
3328, 2.51, 0.00068, 1.78, 2.721
3456, 2.59, 0.00067333, 1.8, 2.701
3584, 2.57, 0.00066667, 1.78, 2.705
3712, 2.71, 0.00066, 1.79, 2.709
3840, 2.66, 0.00065333, 1.76, 2.721
3968, 2.65, 0.00064667, 1.76, 2.711
4096, 2.7, 0.00064, 1.76, 2.677
4224, 2.63, 0.00063333, 1.74, 2.701
4352, 2.63, 0.00062667, 1.74, 2.711
4480, 2.64, 0.00062, 1.73, 2.695
4608, 2.63, 0.00061333, 1.73, 2.69
4736, 2.56, 0.00060667, 1.71, 2.679
4864, 2.55, 0.0006, 1.72, 2.68
4992, 2.52, 0.00059333, 1.69, 2.68
5120, 2.58, 0.00058667, 1.7, 2.685
5248, 2.56, 0.00058, 1.68, 2.678
5376, 2.57, 0.00057333, 1.69, 2.674
5504, 2.53, 0.00056667, 1.67, 2.679
5632, 2.56, 0.00056, 1.68, 2.664
5760, 2.56, 0.00055333, 1.66, 2.689
5888, 2.55, 0.00054667, 1.65, 2.647
6016, 2.53, 0.00054, 1.63, 2.673
6144, 2.52, 0.00053333, 1.63, 2.671
6272, 2.48, 0.00052667, 1.63, 2.668
6400, 2.51, 0.00052, 1.63, 2.637
6528, 2.54, 0.00051333, 1.63, 2.677
6656, 2.6, 0.00050667, 1.62, 2.657
6784, 2.59, 0.0005, 1.61, 2.653
6912, 2.52, 0.00049333, 1.59, 2.649
7040, 2.51, 0.00048667, 1.59, 2.656
7168, 2.54, 0.00048, 1.6, 2.642
7296, 2.54, 0.00047333, 1.62, 2.636
7424, 2.49, 0.00046667, 1.58, 2.631
7552, 2.49, 0.00046, 1.58, 2.623
7680, 2.53, 0.00045333, 1.56, 2.644
7808, 2.55, 0.00044667, 1.56, 2.648
7936, 2.47, 0.00044, 1.55, 2.646
8064, 2.58, 0.00043333, 1.57, 2.614
8192, 2.48, 0.00042667, 1.56, 2.625
8320, 2.52, 0.00042, 1.56, 2.644
8448, 2.54, 0.00041333, 1.56, 2.613
8576, 2.52, 0.00040667, 1.56, 2.62
8704, 2.56, 0.0004, 1.54, 2.607
8832, 2.54, 0.00039333, 1.54, 2.634
8960, 2.5, 0.00038667, 1.54, 2.624
9088, 2.53, 0.00038, 1.52, 2.626
9216, 2.54, 0.00037333, 1.53, 2.61
9344, 2.57, 0.00036667, 1.54, 2.605
9472, 2.58, 0.00036, 1.52, 2.6
9600, 2.54, 0.00035333, 1.53, 2.614
9728, 2.53, 0.00034667, 1.51, 2.61
9856, 2.53, 0.00034, 1.52, 2.62
9984, 2.5, 0.00033333, 1.52, 2.633
10112, 2.47, 0.00032667, 1.51, 2.622
10240, 2.37, 0.00032, 1.5, 2.628
10368, 2.45, 0.00031333, 1.5, 2.604
10496, 2.63, 0.00030667, 1.51, 2.615
10624, 2.54, 0.0003, 1.5, 2.616
10752, 2.45, 0.00029333, 1.51, 2.63
10880, 2.42, 0.00028667, 1.5, 2.611
11008, 2.46, 0.00028, 1.49, 2.616
11136, 2.48, 0.00027333, 1.49, 2.605
11264, 2.42, 0.00026667, 1.48, 2.614
11392, 2.41, 0.00026, 1.48, 2.604
11520, 2.45, 0.00025333, 1.49, 2.619
11648, 2.51, 0.00024667, 1.48, 2.598
11776, 2.49, 0.00024, 1.5, 2.611
11904, 2.41, 0.00023333, 1.48, 2.605
12032, 2.4, 0.00022667, 1.48, 2.595
12160, 2.45, 0.00022, 1.48, 2.601
12288, 2.45, 0.00021333, 1.48, 2.608
12416, 2.43, 0.00020667, 1.48, 2.608
12544, 2.42, 0.0002, 1.48, 2.607
12672, 2.42, 0.00019333, 1.47, 2.597
12800, 2.43, 0.00018667, 1.46, 2.596
12928, 2.47, 0.00018, 1.47, 2.596
13056, 2.42, 0.00017333, 1.47, 2.604
13184, 2.43, 0.00016667, 1.48, 2.6
13312, 2.4, 0.00016, 1.46, 2.606
