step, s/batch, lr, train_loss, dev.quc-dev_loss, dev.quc-mcc, dev.quc-f1, dev.quc-precision, dev.quc-recall
0, n/a, 1e-07, n/a, 5.751, 0.283, 50.7, 57.4, 45.4
64, 3.97, 6.25e-06, 5.45, 5.684, 0.294, 51.9, 57.9, 47.0
128, 3.98, 1.25e-05, 5.24, 5.462, 0.302, 53.5, 57.3, 50.2
192, 3.96, 1.875e-05, 4.9, 5.196, 0.281, 52.3, 55.5, 49.4
256, 3.96, 2.5e-05, 4.56, 4.983, 0.302, 54.4, 56.1, 52.8
320, 3.97, 3.125e-05, 4.25, 4.762, 0.334, 57.1, 57.5, 56.7
384, 3.97, 3.75e-05, 4.0, 4.521, 0.343, 58.0, 57.6, 58.3
448, 3.95, 4.375e-05, 3.78, 4.372, 0.358, 59.2, 58.2, 60.1
512, 3.94, 5e-05, 3.59, 4.225, 0.362, 59.5, 58.3, 60.7
576, 3.96, 4.911e-05, 3.44, 4.038, 0.362, 59.6, 58.2, 61.2
640, 3.94, 4.821e-05, 3.33, 3.997, 0.386, 61.2, 59.6, 62.9
704, 3.94, 4.732e-05, 3.25, 3.952, 0.386, 61.1, 59.7, 62.6
768, 3.93, 4.643e-05, 3.17, 3.918, 0.392, 61.5, 60.0, 63.1
832, 3.94, 4.554e-05, 3.11, 3.858, 0.399, 61.9, 60.5, 63.3
896, 3.95, 4.464e-05, 3.06, 3.781, 0.401, 62.0, 60.6, 63.5
960, 3.94, 4.375e-05, 3.01, 3.788, 0.395, 61.5, 60.5, 62.6
1024, 3.94, 4.286e-05, 2.97, 3.749, 0.398, 61.7, 60.8, 62.6
1088, 3.94, 4.196e-05, 2.93, 3.682, 0.396, 61.6, 60.5, 62.6
1152, 3.94, 4.107e-05, 2.9, 3.703, 0.399, 61.7, 60.8, 62.7
1216, 3.94, 4.018e-05, 2.87, 3.69, 0.402, 62.0, 61.1, 62.8
1280, 3.94, 3.929e-05, 2.84, 3.698, 0.398, 61.6, 60.9, 62.3
1344, 3.96, 3.839e-05, 2.82, 3.707, 0.398, 61.5, 61.1, 61.9
1408, 3.95, 3.75e-05, 2.79, 3.681, 0.405, 62.0, 61.4, 62.6
1472, 3.95, 3.661e-05, 2.77, 3.626, 0.4, 61.6, 61.3, 61.8
1536, 3.96, 3.571e-05, 2.75, 3.664, 0.401, 61.6, 61.5, 61.7
1600, 3.94, 3.482e-05, 2.73, 3.659, 0.403, 61.8, 61.6, 61.9
1664, 3.95, 3.393e-05, 2.71, 3.657, 0.398, 61.4, 61.4, 61.4
1728, 3.95, 3.304e-05, 2.69, 3.631, 0.406, 61.9, 62.0, 61.8
1792, 3.95, 3.214e-05, 2.67, 3.646, 0.393, 60.9, 61.3, 60.4
1856, 3.97, 3.125e-05, 2.66, 3.616, 0.396, 61.0, 61.6, 60.5
1920, 3.96, 3.036e-05, 2.64, 3.636, 0.402, 61.5, 61.9, 61.1
1984, 3.95, 2.946e-05, 2.63, 3.629, 0.402, 61.4, 62.0, 60.8
2048, 3.96, 2.857e-05, 2.61, 3.625, 0.4, 61.3, 61.9, 60.7
2112, 3.96, 2.768e-05, 2.6, 3.599, 0.4, 61.2, 61.9, 60.6
2176, 3.95, 2.679e-05, 2.59, 3.624, 0.396, 61.0, 61.7, 60.3
2240, 3.95, 2.589e-05, 2.58, 3.632, 0.398, 61.1, 61.9, 60.4
2304, 3.97, 2.5e-05, 2.57, 3.608, 0.395, 60.9, 61.6, 60.3
2368, 3.97, 2.411e-05, 2.56, 3.623, 0.398, 61.0, 62.0, 60.0
2432, 3.96, 2.321e-05, 2.55, 3.604, 0.402, 61.3, 62.2, 60.4
2496, 3.94, 2.232e-05, 2.53, 3.573, 0.403, 61.4, 62.3, 60.5
2560, 3.96, 2.143e-05, 2.53, 3.59, 0.397, 60.9, 62.1, 59.8
2624, 3.96, 2.054e-05, 2.52, 3.616, 0.406, 61.5, 62.6, 60.4
2688, 3.95, 1.964e-05, 2.51, 3.6, 0.398, 60.9, 62.2, 59.6
2752, 3.96, 1.875e-05, 2.5, 3.608, 0.402, 61.2, 62.4, 60.0
2816, 3.94, 1.786e-05, 2.49, 3.584, 0.408, 61.5, 62.9, 60.3
2880, 3.96, 1.696e-05, 2.48, 3.569, 0.403, 61.2, 62.5, 60.0
2944, 3.94, 1.607e-05, 2.48, 3.594, 0.408, 61.6, 62.8, 60.3
3008, 3.95, 1.518e-05, 2.47, 3.597, 0.403, 61.2, 62.5, 60.0
3072, 3.95, 1.429e-05, 2.46, 3.619, 0.404, 61.3, 62.6, 60.0
3136, 3.95, 1.339e-05, 2.46, 3.587, 0.406, 61.3, 62.8, 59.9
3200, 3.94, 1.25e-05, 2.45, 3.554, 0.403, 61.1, 62.6, 59.7
3264, 3.94, 1.161e-05, 2.44, 3.583, 0.403, 61.1, 62.7, 59.6
3328, 3.94, 1.071e-05, 2.44, 3.587, 0.403, 61.1, 62.7, 59.5
3392, 3.97, 9.82e-06, 2.44, 3.599, 0.403, 61.1, 62.9, 59.4
3456, 3.95, 8.93e-06, 2.43, 3.601, 0.4, 60.9, 62.6, 59.3
3520, 3.96, 8.04e-06, 2.43, 3.575, 0.408, 61.5, 63.0, 60.1
3584, 3.96, 7.14e-06, 2.42, 3.568, 0.407, 61.4, 63.0, 59.9
3648, 3.95, 6.25e-06, 2.42, 3.623, 0.407, 61.4, 63.0, 59.8
