step, s/batch, lr, train_loss, dev.quc-dev_loss, dev.quc-mcc, dev.quc-f1, dev.quc-precision, dev.quc-recall
0, n/a, 2.4e-07, n/a, 7.696, -0.002, 13.4, 32.7, 8.4
128, 4.07, 3.125e-05, 7.18, 6.983, -0.061, 9.9, 23.8, 6.3
256, 4.09, 6.25e-05, 5.32, 4.887, -0.043, 16.8, 28.0, 12.0
384, 4.19, 9.375e-05, 4.52, 4.478, -0.057, 16.9, 26.8, 12.4
512, 4.27, 0.000125, 4.07, 3.885, -0.041, 20.6, 29.0, 16.0
640, 3.96, 0.00015625, 3.68, 3.524, -0.036, 21.2, 29.5, 16.5
768, 3.88, 0.0001875, 3.38, 3.428, -0.025, 21.2, 30.5, 16.2
896, 3.93, 0.00021875, 3.16, 3.386, 0.014, 24.2, 34.5, 18.6
1024, 4.07, 0.00025, 2.95, 3.367, 0.012, 24.7, 34.3, 19.3
1152, 4.12, 0.00024554, 2.84, 3.32, 0.031, 25.6, 36.1, 19.9
1280, 4.04, 0.00024107, 2.72, 3.29, 0.032, 25.1, 36.4, 19.2
1408, 4.16, 0.00023661, 2.49, 3.306, 0.019, 24.8, 34.9, 19.2
1536, 4.11, 0.00023214, 2.43, 3.293, 0.021, 24.1, 35.2, 18.4
1664, 3.94, 0.00022768, 2.41, 3.25, 0.046, 26.5, 37.7, 20.4
1792, 3.82, 0.00022321, 2.26, 3.214, 0.07, 28.6, 40.0, 22.2
1920, 4.08, 0.00021875, 2.1, 3.232, 0.073, 29.2, 40.2, 22.9
2048, 3.9, 0.00021429, 2.24, 3.229, 0.103, 32.5, 42.6, 26.2
2176, 3.92, 0.00020982, 2.14, 3.224, 0.085, 30.4, 41.2, 24.1
2304, 3.94, 0.00020536, 2.11, 3.241, 0.113, 33.2, 43.6, 26.9
2432, 3.79, 0.00020089, 2.01, 3.156, 0.081, 29.7, 41.0, 23.3
2560, 4.07, 0.00019643, 2.15, 3.122, 0.111, 32.7, 43.5, 26.1
2688, 4.32, 0.00019196, 1.95, 3.125, 0.124, 33.8, 44.7, 27.2
2816, 4.29, 0.0001875, 1.97, 3.083, 0.133, 35.2, 45.1, 28.9
2944, 3.69, 0.00018304, 2.09, 3.113, 0.132, 34.8, 45.2, 28.4
3072, 3.89, 0.00017857, 1.89, 3.057, 0.127, 34.0, 45.0, 27.3
3200, 4.02, 0.00017411, 1.94, 3.057, 0.13, 33.9, 45.5, 27.1
3328, 3.97, 0.00016964, 1.87, 3.061, 0.121, 33.4, 44.5, 26.7
3456, 4.13, 0.00016518, 1.91, 3.081, 0.141, 35.5, 46.1, 28.8
3584, 3.89, 0.00016071, 1.91, 3.066, 0.155, 36.7, 47.1, 30.0
