step, s/batch, lr, train_loss, dev.quc-dev_loss, dev.quc-mcc, dev.quc-f1, dev.quc-precision, dev.quc-recall
0, n/a, 9.8e-07, n/a, 5.87, 0.164, 43.8, 47.8, 40.3
128, 3.95, 0.000125, 4.73, 4.471, 0.222, 51.5, 49.0, 54.2
256, 3.94, 0.00025, 3.32, 3.709, 0.308, 56.9, 53.9, 60.1
384, 3.94, 0.000375, 2.74, 3.479, 0.356, 59.8, 56.8, 63.2
512, 3.88, 0.0005, 2.52, 3.413, 0.364, 59.9, 58.0, 62.0
640, 3.9, 0.000625, 2.33, 3.459, 0.377, 60.7, 58.9, 62.6
768, 3.84, 0.00075, 2.26, 3.378, 0.39, 61.5, 59.6, 63.6
896, 4.05, 0.000875, 2.17, 3.371, 0.39, 60.9, 60.9, 60.9
1024, 3.91, 0.001, 2.09, 3.421, 0.41, 62.4, 61.7, 63.1
1152, 3.85, 0.00098214, 2.06, 3.433, 0.398, 61.0, 62.1, 59.9
1280, 3.98, 0.00096429, 1.96, 3.276, 0.404, 61.0, 63.0, 59.2
1408, 3.79, 0.00094643, 1.98, 3.369, 0.407, 61.1, 63.6, 58.8
1536, 3.98, 0.00092857, 1.86, 3.342, 0.418, 61.8, 64.4, 59.4
1664, 3.86, 0.00091071, 1.88, 3.408, 0.412, 61.1, 64.3, 58.3
1792, 3.83, 0.00089286, 1.87, 3.376, 0.418, 61.6, 64.6, 58.9
1920, 3.87, 0.000875, 1.82, 3.357, 0.415, 60.9, 65.4, 56.9
2048, 3.92, 0.00085714, 1.79, 3.441, 0.414, 60.8, 65.3, 56.9
2176, 3.93, 0.00083929, 1.75, 3.471, 0.417, 61.1, 65.4, 57.4
2304, 3.92, 0.00082143, 1.78, 3.392, 0.421, 61.2, 65.9, 57.1
2432, 3.85, 0.00080357, 1.72, 3.48, 0.411, 60.3, 65.6, 55.8
2560, 3.89, 0.00078571, 1.72, 3.432, 0.41, 60.1, 65.7, 55.5
2688, 3.87, 0.00076786, 1.73, 3.523, 0.407, 59.6, 65.9, 54.4
2816, 3.97, 0.00075, 1.67, 3.453, 0.415, 60.5, 66.1, 55.7
2944, 3.89, 0.00073214, 1.68, 3.475, 0.411, 60.1, 66.0, 55.2
3072, 3.87, 0.00071429, 1.63, 3.521, 0.412, 60.1, 66.2, 55.0
3200, 3.98, 0.00069643, 1.63, 3.567, 0.421, 60.5, 67.0, 55.2
3328, 3.89, 0.00067857, 1.65, 3.514, 0.416, 60.3, 66.4, 55.3
3456, 3.87, 0.00066071, 1.62, 3.575, 0.421, 60.8, 66.5, 56.0
3584, 3.87, 0.00064286, 1.63, 3.591, 0.408, 59.7, 66.1, 54.4
3712, 3.89, 0.000625, 1.6, 3.576, 0.42, 60.7, 66.7, 55.7
3840, 3.87, 0.00060714, 1.56, 3.621, 0.41, 59.7, 66.4, 54.2
3968, 3.91, 0.00058929, 1.58, 3.676, 0.413, 59.8, 66.8, 54.0
4096, 3.96, 0.00057143, 1.57, 3.667, 0.408, 59.6, 66.3, 54.1
4224, 3.83, 0.00055357, 1.57, 3.584, 0.413, 60.0, 66.5, 54.7
4352, 4.04, 0.00053571, 1.51, 3.717, 0.401, 58.9, 66.1, 53.1
4480, 3.79, 0.00051786, 1.56, 3.693, 0.409, 59.5, 66.5, 53.8
4608, 3.79, 0.0005, 1.54, 3.698, 0.395, 58.4, 65.8, 52.4
4736, 3.91, 0.00048214, 1.53, 3.656, 0.414, 59.9, 66.8, 54.3
4864, 3.83, 0.00046429, 1.52, 3.706, 0.412, 59.7, 66.7, 54.1
4992, 4.05, 0.00044643, 1.48, 3.728, 0.414, 60.0, 66.6, 54.6
5120, 3.85, 0.00042857, 1.53, 3.748, 0.408, 59.3, 66.6, 53.4
5248, 3.96, 0.00041071, 1.5, 3.762, 0.398, 58.4, 66.3, 52.1
5376, 4.14, 0.00039286, 1.43, 3.759, 0.405, 59.1, 66.4, 53.2
5504, 3.74, 0.000375, 1.51, 3.78, 0.409, 59.5, 66.5, 53.8
5632, 4.0, 0.00035714, 1.48, 3.79, 0.402, 59.0, 66.1, 53.3
5760, 3.88, 0.00033929, 1.46, 3.79, 0.415, 59.8, 67.1, 54.0
5888, 3.95, 0.00032143, 1.46, 3.816, 0.403, 58.9, 66.4, 52.9
6016, 3.83, 0.00030357, 1.47, 3.867, 0.401, 58.9, 66.1, 53.1
6144, 4.04, 0.00028571, 1.44, 3.781, 0.411, 59.5, 67.0, 53.4
6272, 3.89, 0.00026786, 1.46, 3.866, 0.406, 59.0, 66.7, 53.0
6400, 3.97, 0.00025, 1.41, 3.816, 0.408, 59.2, 66.8, 53.2
6528, 4.23, 0.00023214, 1.44, 3.801, 0.405, 59.2, 66.3, 53.4
6656, 3.97, 0.00021429, 1.44, 3.862, 0.401, 58.7, 66.3, 52.7
6784, 4.12, 0.00019643, 1.4, 3.852, 0.399, 58.7, 66.0, 52.8
6912, 3.95, 0.00017857, 1.44, 3.895, 0.405, 59.2, 66.3, 53.4
7040, 4.05, 0.00016071, 1.41, 3.886, 0.402, 58.9, 66.2, 53.1
7168, 3.87, 0.00014286, 1.42, 3.877, 0.404, 58.9, 66.5, 52.9
7296, 3.87, 0.000125, 1.39, 3.893, 0.404, 58.9, 66.5, 52.9
7424, 3.79, 0.00010714, 1.42, 3.853, 0.412, 59.6, 66.9, 53.8
7552, 3.9, 8.929e-05, 1.38, 3.923, 0.398, 58.6, 65.8, 52.9
7680, 3.89, 7.143e-05, 1.4, 3.881, 0.403, 58.9, 66.5, 52.9
7808, 3.83, 5.357e-05, 1.41, 3.893, 0.406, 59.0, 66.7, 53.0
7936, 3.9, 3.571e-05, 1.38, 3.869, 0.412, 59.6, 66.9, 53.7
8064, 3.85, 1.786e-05, 1.39, 3.863, 0.4, 58.8, 66.0, 53.0
8192, 3.72, 0.0, 1.39, 3.877, 0.4, 58.7, 66.1, 52.8
