step, s/batch, lr, train_loss, dev.quc-dev_loss, dev.quc-mcc, dev.quc-f1, dev.quc-precision, dev.quc-recall
0, n/a, 2.4e-07, n/a, 5.87, 0.164, 43.8, 47.8, 40.3
128, 3.98, 3.125e-05, 5.24, 5.18, 0.185, 48.5, 47.2, 49.8
256, 3.9, 6.25e-05, 4.18, 4.445, 0.217, 51.5, 48.4, 54.9
384, 3.98, 9.375e-05, 3.5, 3.963, 0.267, 54.4, 51.4, 57.9
512, 3.93, 0.000125, 3.07, 3.689, 0.314, 57.8, 53.5, 62.7
640, 3.94, 0.00015625, 2.79, 3.603, 0.328, 58.2, 54.9, 62.0
768, 3.8, 0.0001875, 2.64, 3.492, 0.354, 60.0, 56.2, 64.2
896, 3.97, 0.00021875, 2.51, 3.49, 0.37, 60.7, 57.7, 64.0
1024, 3.92, 0.00025, 2.41, 3.488, 0.382, 61.4, 58.5, 64.6
1152, 3.86, 0.00024554, 2.34, 3.443, 0.381, 61.1, 58.8, 63.5
1280, 4.05, 0.00024107, 2.24, 3.437, 0.383, 61.2, 58.9, 63.6
1408, 3.81, 0.00023661, 2.25, 3.413, 0.38, 60.9, 59.1, 62.8
1536, 4.0, 0.00023214, 2.13, 3.451, 0.39, 61.7, 59.5, 64.0
1664, 3.89, 0.00022768, 2.15, 3.413, 0.386, 61.1, 59.7, 62.5
1792, 3.83, 0.00022321, 2.13, 3.429, 0.39, 61.3, 60.2, 62.4
1920, 3.9, 0.00021875, 2.07, 3.407, 0.395, 61.5, 60.5, 62.6
2048, 3.89, 0.00021429, 2.05, 3.422, 0.389, 61.1, 60.3, 61.9
2176, 3.86, 0.00020982, 2.0, 3.424, 0.39, 60.9, 60.7, 61.0
2304, 3.95, 0.00020536, 2.04, 3.416, 0.398, 61.5, 61.2, 61.9
2432, 3.97, 0.00020089, 1.97, 3.471, 0.391, 61.0, 60.7, 61.4
2560, 3.92, 0.00019643, 1.97, 3.447, 0.396, 61.3, 61.2, 61.3
2688, 3.92, 0.00019196, 1.99, 3.461, 0.393, 61.1, 61.0, 61.2
2816, 3.97, 0.0001875, 1.92, 3.403, 0.397, 61.3, 61.4, 61.2
2944, 3.87, 0.00018304, 1.93, 3.476, 0.385, 60.2, 61.1, 59.3
3072, 3.89, 0.00017857, 1.88, 3.476, 0.384, 60.3, 60.9, 59.7
3200, 3.98, 0.00017411, 1.89, 3.491, 0.398, 61.2, 61.6, 60.9
3328, 3.92, 0.00016964, 1.91, 3.428, 0.392, 60.8, 61.4, 60.1
3456, 3.88, 0.00016518, 1.88, 3.478, 0.391, 60.7, 61.4, 60.1
3584, 3.86, 0.00016071, 1.89, 3.444, 0.395, 60.8, 61.8, 59.9
3712, 3.91, 0.00015625, 1.86, 3.498, 0.389, 60.4, 61.5, 59.3
3840, 3.94, 0.00015179, 1.82, 3.496, 0.394, 60.8, 61.8, 59.8
3968, 3.86, 0.00014732, 1.84, 3.493, 0.392, 60.5, 61.8, 59.3
4096, 3.99, 0.00014286, 1.83, 3.471, 0.392, 60.6, 61.6, 59.6
4224, 3.85, 0.00013839, 1.84, 3.52, 0.383, 60.0, 61.2, 58.8
4352, 4.03, 0.00013393, 1.78, 3.501, 0.385, 60.1, 61.3, 58.9
4480, 3.78, 0.00012946, 1.84, 3.519, 0.389, 60.2, 61.8, 58.7
4608, 3.85, 0.000125, 1.83, 3.514, 0.383, 59.9, 61.3, 58.6
4736, 3.94, 0.00012054, 1.8, 3.503, 0.392, 60.5, 61.8, 59.2
4864, 3.93, 0.00011607, 1.8, 3.51, 0.391, 60.4, 61.9, 58.9
4992, 3.99, 0.00011161, 1.77, 3.519, 0.387, 60.0, 61.8, 58.3
5120, 3.86, 0.00010714, 1.81, 3.513, 0.387, 60.1, 61.6, 58.6
5248, 3.88, 0.00010268, 1.79, 3.514, 0.389, 60.0, 62.1, 57.9
5376, 4.12, 9.821e-05, 1.71, 3.489, 0.398, 60.8, 62.5, 59.1
5504, 3.74, 9.375e-05, 1.81, 3.493, 0.391, 60.1, 62.3, 58.2
5632, 3.92, 8.929e-05, 1.77, 3.521, 0.387, 59.8, 62.1, 57.7
5760, 3.91, 8.482e-05, 1.76, 3.533, 0.391, 60.2, 62.2, 58.3
5888, 4.06, 8.036e-05, 1.76, 3.526, 0.395, 60.4, 62.6, 58.3
6016, 3.85, 7.589e-05, 1.77, 3.541, 0.395, 60.3, 62.8, 58.0
6144, 4.0, 7.143e-05, 1.73, 3.504, 0.395, 60.3, 62.6, 58.1
