step, s/batch, lr, train_loss, dev.quc-dev_loss, dev.quc-mcc, dev.quc-f1, dev.quc-precision, dev.quc-recall
0, n/a, 7.3e-07, n/a, 7.726, -0.051, 10.5, 27.8, 6.4
128, 3.93, 9.375e-05, 6.48, 5.013, 0.049, 24.2, 41.5, 17.0
256, 3.93, 0.0001875, 4.37, 4.363, 0.17, 28.9, 57.9, 19.3
384, 3.95, 0.00028125, 3.76, 3.692, 0.215, 33.5, 62.3, 23.0
512, 4.12, 0.000375, 3.35, 3.573, 0.326, 42.2, 74.2, 29.4
640, 4.0, 0.00046875, 3.07, 3.553, 0.419, 53.7, 77.1, 41.3
768, 4.14, 0.0005625, 2.73, 3.518, 0.458, 57.7, 78.8, 45.5
896, 4.21, 0.00065625, 2.49, 3.441, 0.496, 62.0, 79.4, 50.9
1024, 4.26, 0.00075, 2.32, 3.396, 0.525, 65.2, 79.6, 55.3
1152, 3.98, 0.00073661, 2.3, 3.466, 0.501, 61.5, 81.5, 49.3
1280, 3.78, 0.00072321, 2.26, 3.306, 0.55, 65.7, 84.2, 53.9
1408, 3.87, 0.00070982, 2.0, 3.312, 0.555, 66.5, 83.6, 55.2
1536, 4.05, 0.00069643, 2.02, 3.819, 0.548, 65.5, 84.0, 53.8
1664, 4.15, 0.00068304, 1.99, 3.358, 0.588, 69.1, 85.8, 57.9
1792, 3.98, 0.00066964, 2.03, 3.269, 0.596, 69.8, 86.2, 58.6
1920, 3.92, 0.00065625, 1.96, 3.238, 0.6, 70.2, 86.2, 59.2
2048, 4.16, 0.00064286, 1.82, 3.2, 0.605, 70.7, 86.1, 60.0
2176, 4.24, 0.00062946, 1.83, 3.305, 0.589, 68.6, 87.1, 56.7
2304, 4.09, 0.00061607, 1.84, 3.23, 0.595, 69.6, 86.3, 58.2
2432, 4.09, 0.00060268, 1.84, 3.287, 0.6, 69.8, 87.1, 58.3
2560, 4.13, 0.00058929, 1.76, 3.184, 0.61, 70.9, 87.2, 59.7
2688, 4.22, 0.00057589, 1.82, 3.205, 0.616, 71.3, 87.5, 60.2
2816, 4.12, 0.0005625, 1.68, 3.089, 0.624, 72.1, 87.4, 61.4
2944, 3.9, 0.00054911, 1.78, 3.125, 0.616, 71.1, 87.9, 59.7
3072, 4.08, 0.00053571, 1.73, 3.087, 0.624, 72.0, 87.7, 61.1
3200, 4.33, 0.00052232, 1.72, 3.062, 0.627, 72.4, 87.6, 61.7
3328, 4.05, 0.00050893, 1.72, 3.076, 0.627, 72.4, 87.6, 61.7
3456, 4.1, 0.00049554, 1.7, 3.096, 0.628, 72.5, 87.4, 61.9
3584, 4.0, 0.00048214, 1.74, 3.097, 0.617, 71.0, 88.4, 59.4
3712, 4.08, 0.00046875, 1.76, 3.042, 0.63, 72.5, 88.1, 61.6
3840, 4.37, 0.00045536, 1.64, 3.02, 0.635, 73.0, 88.1, 62.3
3968, 3.97, 0.00044196, 1.71, 3.076, 0.634, 72.9, 88.2, 62.1
4096, 4.17, 0.00042857, 1.6, 3.032, 0.634, 72.9, 88.2, 62.1
4224, 4.08, 0.00041518, 1.6, 3.026, 0.631, 72.5, 88.3, 61.5
4352, 4.05, 0.00040179, 1.7, 3.017, 0.637, 73.2, 88.0, 62.7
4480, 4.09, 0.00038839, 1.61, 3.137, 0.637, 73.1, 88.2, 62.5
4608, 4.11, 0.000375, 1.63, 3.153, 0.637, 72.9, 88.8, 61.9
4736, 4.01, 0.00036161, 1.6, 3.162, 0.636, 73.0, 88.2, 62.3
4864, 3.94, 0.00034821, 1.64, 3.108, 0.634, 72.9, 88.1, 62.2
4992, 4.12, 0.00033482, 1.58, 3.152, 0.636, 73.0, 88.4, 62.2
5120, 4.01, 0.00032143, 1.63, 3.166, 0.634, 72.9, 88.1, 62.1
5248, 4.13, 0.00030804, 1.54, 3.158, 0.634, 72.7, 88.4, 61.7
5376, 4.06, 0.00029464, 1.56, 3.034, 0.635, 72.8, 88.6, 61.8
5504, 4.3, 0.00028125, 1.56, 3.034, 0.639, 73.5, 87.9, 63.2
5632, 4.09, 0.00026786, 1.53, 3.028, 0.634, 72.8, 88.4, 61.9
5760, 3.97, 0.00025446, 1.59, 3.036, 0.634, 73.0, 88.0, 62.4
5888, 4.09, 0.00024107, 1.6, 3.04, 0.636, 73.0, 88.4, 62.1
6016, 3.86, 0.00022768, 1.48, 3.099, 0.636, 72.9, 88.6, 61.9
6144, 4.03, 0.00021429, 1.55, 3.053, 0.638, 73.0, 88.7, 62.1
6272, 3.92, 0.00020089, 1.52, 3.033, 0.64, 73.4, 88.3, 62.8
6400, 3.86, 0.0001875, 1.6, 3.019, 0.641, 73.5, 88.3, 63.0
6528, 4.16, 0.00017411, 1.53, 3.005, 0.643, 73.6, 88.5, 62.9
6656, 3.87, 0.00016071, 1.52, 2.981, 0.64, 73.4, 88.3, 62.8
6784, 3.94, 0.00014732, 1.54, 2.979, 0.641, 73.6, 88.1, 63.2
6912, 3.95, 0.00013393, 1.54, 3.044, 0.635, 73.0, 88.0, 62.4
7040, 4.18, 0.00012054, 1.51, 2.992, 0.641, 73.5, 88.4, 62.9
7168, 3.96, 0.00010714, 1.44, 3.061, 0.639, 73.4, 88.2, 62.9
7296, 3.82, 9.375e-05, 1.59, 2.965, 0.645, 74.0, 88.1, 63.8
7424, 3.88, 8.036e-05, 1.48, 2.986, 0.642, 73.6, 88.2, 63.2
7552, 4.13, 6.696e-05, 1.49, 2.967, 0.644, 73.9, 88.0, 63.7
7680, 4.23, 5.357e-05, 1.48, 2.959, 0.644, 73.9, 88.2, 63.6
7808, 4.26, 4.018e-05, 1.46, 2.981, 0.644, 73.8, 88.3, 63.3
7936, 4.14, 2.679e-05, 1.5, 2.967, 0.645, 73.9, 88.4, 63.4
8064, 4.09, 1.339e-05, 1.48, 2.979, 0.644, 73.8, 88.3, 63.4
8192, 3.98, 0.0, 1.45, 2.964, 0.645, 73.9, 88.4, 63.4
