step, s/batch, lr, train_loss, dev.quc-dev_loss, dev.quc-mcc, dev.quc-f1, dev.quc-precision, dev.quc-recall
0, n/a, 4.9e-07, n/a, 7.697, -0.002, 13.4, 32.7, 8.4
128, 3.91, 6.25e-05, 6.86, 5.454, -0.058, 11.3, 24.8, 7.3
256, 3.96, 0.000125, 4.71, 4.565, -0.054, 16.7, 27.0, 12.0
384, 4.13, 0.0001875, 4.09, 3.897, -0.053, 19.6, 27.8, 15.1
512, 4.2, 0.00025, 3.59, 3.48, -0.002, 22.8, 32.8, 17.4
640, 3.88, 0.0003125, 3.33, 3.371, 0.019, 23.4, 35.0, 17.5
768, 3.82, 0.000375, 3.05, 3.373, 0.069, 27.9, 40.1, 21.4
896, 3.8, 0.0004375, 2.85, 3.36, 0.054, 25.9, 38.8, 19.4
1024, 4.1, 0.0005, 2.63, 3.313, 0.09, 28.1, 42.7, 20.9
1152, 4.04, 0.00049107, 2.56, 3.262, 0.14, 33.4, 47.0, 25.9
1280, 3.91, 0.00048214, 2.46, 3.264, 0.144, 33.7, 47.4, 26.1
1408, 4.0, 0.00047321, 2.23, 3.24, 0.158, 35.1, 48.6, 27.5
1536, 3.94, 0.00046429, 2.19, 3.22, 0.169, 35.9, 49.7, 28.1
1664, 3.82, 0.00045536, 2.18, 3.212, 0.212, 39.5, 53.4, 31.3
1792, 3.74, 0.00044643, 2.04, 3.168, 0.23, 41.9, 54.2, 34.1
1920, 3.99, 0.0004375, 1.88, 3.157, 0.253, 43.9, 55.9, 36.1
2048, 3.81, 0.00042857, 2.04, 3.172, 0.292, 47.1, 58.9, 39.2
2176, 3.84, 0.00041964, 1.95, 3.135, 0.288, 46.4, 59.0, 38.3
2304, 3.9, 0.00041071, 1.93, 3.203, 0.323, 49.3, 61.6, 41.2
2432, 3.71, 0.00040179, 1.83, 3.107, 0.299, 47.1, 60.2, 38.7
2560, 4.05, 0.00039286, 1.97, 3.06, 0.346, 51.8, 62.6, 44.1
2688, 4.16, 0.00038393, 1.79, 3.068, 0.356, 52.1, 63.9, 44.0
2816, 4.14, 0.000375, 1.81, 3.014, 0.386, 54.8, 65.6, 47.1
2944, 3.58, 0.00036607, 1.94, 3.08, 0.387, 54.6, 66.1, 46.4
3072, 3.82, 0.00035714, 1.75, 3.044, 0.375, 53.5, 65.6, 45.2
3200, 3.89, 0.00034821, 1.79, 3.043, 0.397, 55.3, 67.1, 47.1
3328, 3.89, 0.00033929, 1.72, 3.009, 0.401, 55.9, 66.9, 48.1
3456, 4.03, 0.00033036, 1.76, 2.997, 0.408, 56.4, 67.3, 48.6
3584, 3.8, 0.00032143, 1.77, 3.003, 0.423, 57.6, 68.6, 49.6
3712, 3.98, 0.0003125, 1.68, 2.981, 0.408, 56.3, 67.5, 48.3
3840, 3.96, 0.00030357, 1.83, 2.983, 0.414, 56.9, 67.7, 49.2
3968, 3.71, 0.00029464, 1.7, 2.992, 0.421, 57.2, 68.7, 49.0
4096, 3.85, 0.00028571, 1.79, 2.955, 0.418, 56.9, 68.6, 48.7
4224, 4.11, 0.00027679, 1.6, 2.988, 0.426, 57.8, 68.8, 49.9
4352, 3.76, 0.00026786, 1.75, 2.967, 0.426, 57.6, 69.1, 49.4
4480, 3.8, 0.00025893, 1.71, 2.944, 0.43, 58.1, 69.1, 50.2
4608, 3.92, 0.00025, 1.65, 2.927, 0.443, 59.5, 69.2, 52.2
