step, s/batch, lr, train_loss, dev.quc-dev_loss, dev.quc-mcc, dev.quc-f1, dev.quc-precision, dev.quc-recall
0, n/a, 2e-07, n/a, 5.873, 0.173, 44.7, 48.2, 41.6
64, 3.73, 1.25e-05, 5.56, 5.715, 0.19, 46.8, 48.8, 44.9
128, 3.72, 2.5e-05, 5.18, 5.331, 0.208, 49.4, 49.0, 49.8
192, 3.72, 3.75e-05, 4.68, 4.858, 0.213, 50.1, 49.0, 51.1
256, 3.71, 5e-05, 4.26, 4.598, 0.246, 51.9, 51.3, 52.6
320, 3.72, 6.25e-05, 3.91, 4.275, 0.273, 53.1, 53.6, 52.7
384, 3.72, 7.5e-05, 3.61, 4.052, 0.301, 54.8, 55.5, 54.2
448, 3.7, 8.75e-05, 3.39, 3.905, 0.32, 56.1, 56.7, 55.5
512, 3.72, 0.0001, 3.21, 3.818, 0.327, 56.3, 57.5, 55.2
576, 3.73, 9.821e-05, 3.07, 3.749, 0.341, 57.1, 58.6, 55.6
640, 3.73, 9.643e-05, 2.96, 3.681, 0.344, 57.1, 59.1, 55.2
704, 3.72, 9.464e-05, 2.88, 3.664, 0.345, 57.1, 59.3, 55.0
768, 3.73, 9.286e-05, 2.81, 3.628, 0.354, 57.5, 60.1, 55.1
832, 3.72, 9.107e-05, 2.75, 3.629, 0.355, 57.5, 60.3, 54.9
896, 3.7, 8.929e-05, 2.7, 3.58, 0.352, 57.2, 60.2, 54.6
960, 3.73, 8.75e-05, 2.65, 3.6, 0.36, 57.7, 60.8, 54.9
1024, 3.72, 8.571e-05, 2.61, 3.566, 0.36, 57.6, 61.0, 54.6
1088, 3.72, 8.393e-05, 2.58, 3.559, 0.372, 58.3, 61.8, 55.2
1152, 3.73, 8.214e-05, 2.54, 3.561, 0.366, 57.8, 61.7, 54.4
1216, 3.78, 8.036e-05, 2.51, 3.53, 0.369, 57.9, 62.0, 54.3
1280, 3.77, 7.857e-05, 2.48, 3.584, 0.372, 58.2, 62.1, 54.7
1344, 3.69, 7.679e-05, 2.45, 3.558, 0.362, 57.5, 61.4, 54.0
1408, 3.69, 7.5e-05, 2.43, 3.517, 0.372, 58.2, 62.1, 54.8
1472, 3.65, 7.321e-05, 2.41, 3.556, 0.365, 57.6, 61.8, 54.0
1536, 3.66, 7.143e-05, 2.39, 3.54, 0.36, 57.3, 61.3, 53.7
1600, 3.66, 6.964e-05, 2.37, 3.509, 0.359, 57.1, 61.4, 53.4
1664, 3.66, 6.786e-05, 2.35, 3.544, 0.37, 57.9, 62.2, 54.1
1728, 3.66, 6.607e-05, 2.33, 3.576, 0.37, 57.8, 62.2, 54.0
1792, 3.68, 6.429e-05, 2.31, 3.573, 0.359, 57.1, 61.5, 53.3
1856, 3.67, 6.25e-05, 2.29, 3.531, 0.363, 57.4, 61.8, 53.6
1920, 3.65, 6.071e-05, 2.28, 3.578, 0.364, 57.4, 61.8, 53.5
1984, 3.66, 5.893e-05, 2.27, 3.553, 0.364, 57.4, 61.9, 53.5
2048, 3.67, 5.714e-05, 2.25, 3.599, 0.364, 57.4, 61.9, 53.4
2112, 3.67, 5.536e-05, 2.24, 3.566, 0.359, 57.0, 61.7, 53.0
2176, 3.64, 5.357e-05, 2.23, 3.597, 0.359, 56.9, 61.8, 52.8
2240, 3.83, 5.179e-05, 2.21, 3.612, 0.368, 57.5, 62.4, 53.3
2304, 3.66, 5e-05, 2.2, 3.62, 0.362, 57.0, 62.0, 52.8
2368, 3.66, 4.821e-05, 2.19, 3.574, 0.364, 57.2, 62.1, 53.1
2432, 3.66, 4.643e-05, 2.18, 3.577, 0.363, 57.0, 62.3, 52.5
2496, 3.65, 4.464e-05, 2.17, 3.597, 0.359, 56.9, 61.8, 52.7
2560, 3.68, 4.286e-05, 2.16, 3.574, 0.361, 56.9, 62.1, 52.4
2624, 3.67, 4.107e-05, 2.15, 3.574, 0.362, 56.9, 62.2, 52.4
2688, 3.64, 3.929e-05, 2.14, 3.613, 0.36, 56.8, 62.1, 52.3
2752, 3.67, 3.75e-05, 2.13, 3.588, 0.36, 56.8, 62.0, 52.5
2816, 3.65, 3.571e-05, 2.12, 3.618, 0.364, 57.0, 62.4, 52.5
