step, s/batch, lr, train_loss, dev.quy-dev_loss
0, n/a, 4.9e-07, n/a, 7.672
128, 2.73, 6.25e-05, 6.99, 5.041
256, 2.55, 0.000125, 4.27, 3.853
384, 2.53, 0.0001875, 3.52, 3.382
512, 2.51, 0.00025, 3.1, 3.251
640, 2.6, 0.0003125, 2.86, 3.171
768, 2.54, 0.000375, 2.7, 3.08
896, 2.49, 0.0004375, 2.53, 2.984
1024, 2.54, 0.0005, 2.41, 2.942
1152, 2.54, 0.00049583, 2.33, 2.888
1280, 2.63, 0.00049167, 2.27, 2.854
1408, 2.52, 0.0004875, 2.17, 2.837
1536, 2.47, 0.00048333, 2.13, 2.805
1664, 2.53, 0.00047917, 2.08, 2.805
1792, 2.52, 0.000475, 2.04, 2.779
1920, 2.54, 0.00047083, 2.0, 2.774
2048, 2.48, 0.00046667, 1.95, 2.76
2176, 2.52, 0.0004625, 1.91, 2.743
2304, 2.51, 0.00045833, 1.89, 2.721
2432, 2.58, 0.00045417, 1.85, 2.703
2560, 2.56, 0.00045, 1.83, 2.708
2688, 2.55, 0.00044583, 1.79, 2.692
2816, 2.53, 0.00044167, 1.79, 2.682
2944, 2.51, 0.0004375, 1.74, 2.682
3072, 2.53, 0.00043333, 1.71, 2.676
3200, 2.55, 0.00042917, 1.71, 2.672
3328, 2.49, 0.000425, 1.67, 2.666
3456, 2.54, 0.00042083, 1.69, 2.65
3584, 2.52, 0.00041667, 1.66, 2.668
3712, 2.56, 0.0004125, 1.67, 2.659
3840, 2.54, 0.00040833, 1.63, 2.654
3968, 2.55, 0.00040417, 1.62, 2.657
4096, 2.53, 0.0004, 1.62, 2.629
4224, 2.52, 0.00039583, 1.6, 2.645
4352, 2.5, 0.00039167, 1.59, 2.649
4480, 2.53, 0.0003875, 1.58, 2.624
4608, 2.52, 0.00038333, 1.58, 2.63
4736, 2.52, 0.00037917, 1.56, 2.61
4864, 2.55, 0.000375, 1.57, 2.628
4992, 2.48, 0.00037083, 1.54, 2.62
5120, 2.54, 0.00036667, 1.55, 2.624
5248, 2.54, 0.0003625, 1.54, 2.629
5376, 2.51, 0.00035833, 1.54, 2.629
5504, 2.5, 0.00035417, 1.53, 2.617
5632, 2.54, 0.00035, 1.54, 2.617
5760, 2.56, 0.00034583, 1.52, 2.612
5888, 2.51, 0.00034167, 1.51, 2.604
6016, 2.52, 0.0003375, 1.49, 2.612
6144, 2.53, 0.00033333, 1.49, 2.632
6272, 2.51, 0.00032917, 1.49, 2.614
6400, 2.52, 0.000325, 1.49, 2.604
6528, 2.57, 0.00032083, 1.49, 2.617
6656, 2.56, 0.00031667, 1.48, 2.61
6784, 2.5, 0.0003125, 1.48, 2.603
6912, 2.54, 0.00030833, 1.46, 2.608
7040, 2.53, 0.00030417, 1.46, 2.61
7168, 2.55, 0.0003, 1.47, 2.599
7296, 2.54, 0.00029583, 1.49, 2.606
7424, 2.54, 0.00029167, 1.45, 2.594
7552, 2.55, 0.0002875, 1.46, 2.593
7680, 2.53, 0.00028333, 1.44, 2.601
7808, 2.53, 0.00027917, 1.44, 2.591
7936, 2.47, 0.000275, 1.43, 2.6
8064, 2.57, 0.00027083, 1.44, 2.594
8192, 2.51, 0.00026667, 1.44, 2.584
8320, 2.51, 0.0002625, 1.44, 2.602
8448, 2.51, 0.00025833, 1.44, 2.6
8576, 2.55, 0.00025417, 1.45, 2.602
8704, 2.58, 0.00025, 1.42, 2.589
8832, 2.55, 0.00024583, 1.42, 2.608
8960, 2.53, 0.00024167, 1.42, 2.585
9088, 2.59, 0.0002375, 1.41, 2.603
9216, 2.52, 0.00023333, 1.42, 2.589
9344, 2.52, 0.00022917, 1.42, 2.586
9472, 2.59, 0.000225, 1.4, 2.59
9600, 2.53, 0.00022083, 1.42, 2.592
9728, 2.52, 0.00021667, 1.4, 2.597
9856, 2.52, 0.0002125, 1.41, 2.595
9984, 2.53, 0.00020833, 1.41, 2.596
10112, 2.54, 0.00020417, 1.41, 2.591
10240, 2.55, 0.0002, 1.39, 2.595
10368, 2.49, 0.00019583, 1.39, 2.593
10496, 2.6, 0.00019167, 1.4, 2.602
10624, 2.53, 0.0001875, 1.39, 2.59
10752, 2.54, 0.00018333, 1.4, 2.593
10880, 2.54, 0.00017917, 1.39, 2.585
11008, 2.53, 0.000175, 1.38, 2.59
11136, 2.58, 0.00017083, 1.39, 2.589
11264, 2.51, 0.00016667, 1.37, 2.594
11392, 2.5, 0.0001625, 1.38, 2.581
11520, 2.52, 0.00015833, 1.38, 2.594
11648, 2.59, 0.00015417, 1.37, 2.576
11776, 2.53, 0.00015, 1.39, 2.575
11904, 2.53, 0.00014583, 1.38, 2.583
12032, 2.47, 0.00014167, 1.37, 2.584
12160, 2.57, 0.0001375, 1.38, 2.582
12288, 2.57, 0.00013333, 1.38, 2.593
12416, 2.52, 0.00012917, 1.38, 2.583
12544, 2.5, 0.000125, 1.37, 2.585
12672, 2.49, 0.00012083, 1.36, 2.582
12800, 2.5, 0.00011667, 1.36, 2.58
12928, 2.54, 0.0001125, 1.36, 2.587
13056, 2.5, 0.00010833, 1.36, 2.584
13184, 2.5, 0.00010417, 1.37, 2.587
13312, 2.48, 0.0001, 1.36, 2.586
13440, 2.55, 9.583e-05, 1.35, 2.586
13568, 2.51, 9.167e-05, 1.37, 2.591
13696, 2.51, 8.75e-05, 1.36, 2.585
13824, 2.52, 8.333e-05, 1.37, 2.579
13952, 2.46, 7.917e-05, 1.35, 2.585
14080, 2.55, 7.5e-05, 1.36, 2.581
14208, 2.49, 7.083e-05, 1.36, 2.584
14336, 2.55, 6.667e-05, 1.34, 2.593
14464, 2.47, 6.25e-05, 1.36, 2.582
14592, 2.48, 5.833e-05, 1.34, 2.596
14720, 2.57, 5.417e-05, 1.35, 2.587
14848, 2.54, 5e-05, 1.36, 2.586
14976, 2.51, 4.583e-05, 1.35, 2.579
15104, 2.49, 4.167e-05, 1.34, 2.584
15232, 2.52, 3.75e-05, 1.36, 2.588
15360, 2.52, 3.333e-05, 1.35, 2.588
15488, 2.58, 2.917e-05, 1.34, 2.58
15616, 2.56, 2.5e-05, 1.33, 2.583
15744, 2.62, 2.083e-05, 1.34, 2.582
15872, 2.52, 1.667e-05, 1.34, 2.584
16000, 2.6, 1.25e-05, 1.36, 2.586
