step, s/batch, lr, train_loss, dev.quc-dev_loss, dev.quc-mcc, dev.quc-f1, dev.quc-precision, dev.quc-recall
0, n/a, 1.5e-07, n/a, 5.693, 0.258, 48.8, 55.7, 43.4
64, 3.97, 9.37e-06, 5.42, 5.575, 0.276, 50.9, 56.3, 46.4
128, 3.95, 1.875e-05, 5.11, 5.256, 0.271, 51.5, 54.9, 48.5
192, 3.92, 2.812e-05, 4.61, 4.891, 0.273, 52.8, 53.9, 51.7
256, 3.84, 3.75e-05, 4.22, 4.663, 0.276, 53.8, 53.4, 54.1
320, 3.85, 4.687e-05, 3.92, 4.433, 0.306, 56.3, 54.5, 58.1
384, 3.85, 5.625e-05, 3.68, 4.237, 0.311, 56.7, 54.6, 58.9
448, 4.18, 6.562e-05, 3.47, 4.118, 0.323, 57.7, 55.0, 60.7
512, 4.15, 7.5e-05, 3.29, 4.012, 0.34, 58.8, 56.0, 61.8
576, 4.19, 7.366e-05, 3.14, 3.906, 0.349, 59.3, 56.5, 62.4
640, 4.13, 7.232e-05, 3.03, 3.892, 0.355, 59.7, 56.9, 62.7
704, 4.09, 7.098e-05, 2.94, 3.857, 0.36, 59.8, 57.5, 62.3
768, 4.12, 6.964e-05, 2.86, 3.815, 0.368, 60.4, 57.8, 63.1
832, 4.11, 6.83e-05, 2.8, 3.811, 0.372, 60.5, 58.3, 62.9
896, 3.99, 6.696e-05, 2.74, 3.813, 0.38, 61.0, 58.8, 63.4
960, 3.89, 6.562e-05, 2.69, 3.789, 0.38, 60.9, 59.0, 63.0
1024, 3.93, 6.429e-05, 2.64, 3.79, 0.382, 61.0, 59.2, 62.9
1088, 3.91, 6.295e-05, 2.6, 3.773, 0.383, 61.1, 59.1, 63.3
1152, 3.89, 6.161e-05, 2.56, 3.759, 0.383, 61.0, 59.3, 62.8
1216, 3.88, 6.027e-05, 2.52, 3.775, 0.388, 61.4, 59.4, 63.6
1280, 3.89, 5.893e-05, 2.49, 3.789, 0.385, 61.2, 59.4, 63.1
1344, 3.92, 5.759e-05, 2.46, 3.757, 0.385, 61.2, 59.4, 63.0
1408, 3.9, 5.625e-05, 2.43, 3.747, 0.387, 61.3, 59.6, 63.0
1472, 3.89, 5.491e-05, 2.41, 3.764, 0.382, 61.0, 59.3, 62.7
1536, 3.87, 5.357e-05, 2.38, 3.787, 0.387, 61.1, 59.8, 62.5
1600, 3.84, 5.223e-05, 2.36, 3.778, 0.38, 60.8, 59.3, 62.4
1664, 3.9, 5.089e-05, 2.34, 3.778, 0.379, 60.6, 59.4, 61.9
1728, 3.88, 4.955e-05, 2.32, 3.75, 0.386, 61.1, 59.7, 62.5
1792, 3.87, 4.821e-05, 2.3, 3.764, 0.381, 60.7, 59.5, 61.9
1856, 3.89, 4.687e-05, 2.28, 3.746, 0.384, 60.9, 59.8, 62.1
1920, 3.9, 4.554e-05, 2.26, 3.778, 0.38, 60.5, 59.6, 61.4
1984, 3.86, 4.42e-05, 2.24, 3.767, 0.384, 60.9, 59.8, 62.0
2048, 3.88, 4.286e-05, 2.22, 3.769, 0.375, 60.3, 59.3, 61.3
2112, 3.87, 4.152e-05, 2.21, 3.766, 0.38, 60.5, 59.6, 61.5
2176, 3.88, 4.018e-05, 2.2, 3.764, 0.378, 60.4, 59.6, 61.2
2240, 3.87, 3.884e-05, 2.18, 3.777, 0.375, 60.2, 59.4, 61.0
2304, 3.86, 3.75e-05, 2.17, 3.772, 0.373, 60.0, 59.3, 60.7
2368, 3.91, 3.616e-05, 2.15, 3.811, 0.374, 60.1, 59.3, 60.9
2432, 3.87, 3.482e-05, 2.14, 3.772, 0.383, 60.7, 60.0, 61.4
2496, 3.88, 3.348e-05, 2.13, 3.79, 0.375, 60.2, 59.4, 61.0
2560, 3.88, 3.214e-05, 2.12, 3.768, 0.378, 60.2, 59.9, 60.6
2624, 3.87, 3.08e-05, 2.11, 3.81, 0.372, 60.0, 59.3, 60.7
2688, 3.87, 2.946e-05, 2.1, 3.797, 0.368, 59.6, 59.2, 60.0
2752, 3.91, 2.812e-05, 2.09, 3.786, 0.375, 60.2, 59.5, 60.9
2816, 3.89, 2.679e-05, 2.08, 3.806, 0.373, 60.0, 59.3, 60.7
2880, 3.87, 2.545e-05, 2.07, 3.79, 0.372, 59.9, 59.4, 60.4
2944, 3.86, 2.411e-05, 2.06, 3.791, 0.376, 60.2, 59.6, 60.7
3008, 3.84, 2.277e-05, 2.06, 3.791, 0.372, 60.0, 59.3, 60.7
3072, 3.87, 2.143e-05, 2.05, 3.801, 0.376, 60.2, 59.6, 60.9
3136, 3.86, 2.009e-05, 2.04, 3.824, 0.375, 60.1, 59.5, 60.7
3200, 3.84, 1.875e-05, 2.04, 3.799, 0.369, 59.7, 59.2, 60.2
3264, 3.88, 1.741e-05, 2.03, 3.827, 0.377, 60.2, 59.7, 60.7
3328, 3.93, 1.607e-05, 2.03, 3.821, 0.369, 59.7, 59.2, 60.1
3392, 3.88, 1.473e-05, 2.02, 3.815, 0.374, 60.0, 59.5, 60.5
3456, 3.85, 1.339e-05, 2.02, 3.812, 0.372, 59.9, 59.3, 60.5
3520, 3.86, 1.205e-05, 2.01, 3.803, 0.371, 59.9, 59.4, 60.4
3584, 3.86, 1.071e-05, 2.01, 3.791, 0.372, 59.9, 59.3, 60.5
3648, 3.89, 9.37e-06, 2.01, 3.852, 0.365, 59.4, 59.0, 59.8
3712, 3.9, 8.04e-06, 2.0, 3.825, 0.37, 59.8, 59.2, 60.4
3776, 3.86, 6.7e-06, 2.0, 3.824, 0.368, 59.6, 59.2, 60.0
3840, 3.91, 5.36e-06, 2.0, 3.831, 0.367, 59.5, 59.3, 59.7
3904, 3.9, 4.02e-06, 2.0, 3.824, 0.37, 59.7, 59.3, 60.1
3968, 3.86, 2.68e-06, 2.0, 3.814, 0.372, 59.9, 59.5, 60.3
4032, 3.87, 1.34e-06, 2.0, 3.844, 0.367, 59.6, 59.1, 60.0
4096, 3.77, 0.0, 2.0, 3.793, 0.369, 59.7, 59.3, 60.1
