step, s/batch, lr, train_loss, dev.anlp_dev_loss, dev.hch_mcc, dev.hch_f1, dev.hch_precision, dev.hch_recall, dev.nci_mcc, dev.nci_f1, dev.nci_precision, dev.nci_recall
6016, 3.14, 0.00050625, 2.57, 3.364, 0.489, 60.8, 74.5, 51.4, 0.348, 52.1, 53.9, 50.4
6144, 3.13, 0.0005, 2.56, 3.354, 0.506, 62.6, 74.9, 53.7, 0.357, 53.0, 54.2, 51.9
6272, 3.05, 0.00049375, 2.54, 3.357, 0.509, 63.3, 74.0, 55.3, 0.353, 53.1, 53.0, 53.3
6400, 2.89, 0.0004875, 2.51, 3.381, 0.501, 62.3, 74.2, 53.8, 0.342, 52.1, 52.6, 51.6
6528, 3.03, 0.00048125, 2.51, 3.369, 0.517, 63.7, 75.2, 55.2, 0.353, 53.0, 53.2, 52.7
6656, 3.13, 0.000475, 2.51, 3.379, 0.483, 60.2, 74.3, 50.6, 0.322, 49.7, 52.7, 46.9
6784, 2.94, 0.00046875, 2.53, 3.34, 0.501, 62.1, 74.5, 53.3, 0.35, 52.7, 53.3, 52.1
6912, 3.03, 0.0004625, 2.56, 3.352, 0.486, 60.7, 74.0, 51.5, 0.357, 52.7, 54.7, 51.0
7040, 2.99, 0.00045625, 2.47, 3.385, 0.481, 60.2, 73.8, 50.9, 0.353, 52.8, 53.6, 52.0
7168, 3.1, 0.00045, 2.53, 3.354, 0.503, 62.3, 74.6, 53.4, 0.328, 50.9, 52.0, 49.9
7296, 3.08, 0.00044375, 2.51, 3.365, 0.487, 60.6, 74.3, 51.2, 0.363, 53.9, 53.6, 54.1
7424, 3.01, 0.0004375, 2.54, 3.334, 0.507, 62.8, 74.6, 54.2, 0.345, 52.2, 52.9, 51.6
7552, 3.07, 0.00043125, 2.51, 3.344, 0.504, 62.3, 74.9, 53.4, 0.353, 52.7, 53.7, 51.7
7680, 3.07, 0.000425, 2.49, 3.337, 0.494, 61.5, 74.3, 52.4, 0.339, 51.9, 52.4, 51.4
7808, 3.03, 0.00041875, 2.45, 3.333, 0.521, 64.3, 74.6, 56.5, 0.361, 54.3, 52.4, 56.2
7936, 3.03, 0.0004125, 2.48, 3.342, 0.514, 63.2, 75.5, 54.3, 0.359, 54.0, 52.5, 55.7
8064, 2.94, 0.00040625, 2.46, 3.327, 0.513, 63.2, 75.1, 54.6, 0.36, 53.9, 53.0, 54.9
8192, 3.08, 0.0004, 2.45, 3.355, 0.488, 60.8, 74.2, 51.5, 0.362, 53.2, 54.7, 51.9
8320, 3.1, 0.00039375, 2.49, 3.324, 0.502, 62.0, 75.0, 52.9, 0.363, 53.8, 53.7, 53.8
8448, 3.08, 0.0003875, 2.46, 3.329, 0.527, 64.5, 75.6, 56.3, 0.362, 54.1, 52.9, 55.4
8576, 2.96, 0.00038125, 2.47, 3.32, 0.516, 63.1, 76.2, 53.8, 0.365, 54.2, 53.3, 55.2
8704, 3.19, 0.000375, 2.43, 3.324, 0.516, 63.7, 74.9, 55.4, 0.368, 54.7, 53.0, 56.4
8832, 2.97, 0.00036875, 2.47, 3.345, 0.533, 64.9, 76.2, 56.6, 0.38, 55.7, 53.6, 57.9
8960, 2.96, 0.0003625, 2.44, 3.321, 0.52, 63.9, 75.4, 55.4, 0.37, 54.7, 53.4, 56.2
9088, 3.02, 0.00035625, 2.48, 3.319, 0.51, 63.6, 73.6, 55.9, 0.368, 54.7, 53.0, 56.4
9216, 3.14, 0.00035, 2.42, 3.322, 0.529, 64.5, 76.3, 55.9, 0.377, 55.3, 53.6, 57.2
9344, 2.97, 0.00034375, 2.44, 3.335, 0.532, 65.0, 75.9, 56.8, 0.372, 54.9, 53.3, 56.7
9472, 3.03, 0.0003375, 2.45, 3.316, 0.515, 62.8, 76.7, 53.1, 0.342, 51.7, 53.4, 50.1
9600, 3.02, 0.00033125, 2.4, 3.304, 0.517, 63.4, 75.7, 54.5, 0.372, 54.8, 53.6, 56.1
9728, 3.01, 0.000325, 2.45, 3.352, 0.505, 62.3, 75.3, 53.1, 0.359, 53.7, 53.1, 54.4
9856, 3.07, 0.00031875, 2.48, 3.317, 0.514, 63.1, 75.8, 54.0, 0.355, 53.4, 52.7, 54.2
9984, 2.94, 0.0003125, 2.42, 3.318, 0.516, 63.3, 75.7, 54.4, 0.366, 54.4, 53.2, 55.6
10112, 3.07, 0.00030625, 2.42, 3.31, 0.519, 63.8, 75.4, 55.2, 0.372, 55.0, 53.3, 56.8
10240, 2.93, 0.0003, 2.43, 3.307, 0.523, 64.2, 75.4, 55.9, 0.372, 55.3, 52.6, 58.2
10368, 2.98, 0.00029375, 2.4, 3.306, 0.521, 63.8, 75.8, 55.0, 0.375, 55.1, 53.7, 56.5
10496, 3.18, 0.0002875, 2.39, 3.325, 0.504, 62.3, 74.9, 53.4, 0.375, 55.1, 53.7, 56.6
10624, 2.91, 0.00028125, 2.38, 3.304, 0.507, 62.4, 75.6, 53.1, 0.367, 54.3, 53.5, 55.2
10752, 3.04, 0.000275, 2.38, 3.342, 0.517, 63.4, 75.6, 54.6, 0.379, 55.6, 53.5, 57.8
10880, 2.83, 0.00026875, 2.35, 3.337, 0.532, 65.0, 75.9, 56.8, 0.367, 54.5, 53.2, 55.9
11008, 3.0, 0.0002625, 2.4, 3.302, 0.507, 62.7, 74.7, 54.0, 0.349, 53.1, 52.0, 54.3
11136, 2.96, 0.00025625, 2.35, 3.305, 0.519, 63.7, 75.7, 54.9, 0.363, 54.3, 52.7, 56.0
11264, 3.07, 0.00025, 2.41, 3.309, 0.531, 65.0, 75.4, 57.1, 0.375, 55.5, 52.8, 58.4
11392, 3.21, 0.00024375, 2.38, 3.306, 0.52, 63.9, 75.3, 55.5, 0.367, 54.8, 52.5, 57.3
11520, 2.91, 0.0002375, 2.4, 3.311, 0.517, 63.4, 75.6, 54.6, 0.35, 52.8, 52.9, 52.7
11648, 3.09, 0.00023125, 2.41, 3.297, 0.535, 65.4, 75.6, 57.7, 0.364, 54.6, 52.2, 57.2
11776, 3.08, 0.000225, 2.4, 3.301, 0.516, 63.6, 75.2, 55.1, 0.354, 53.5, 52.4, 54.6
11904, 2.94, 0.00021875, 2.43, 3.298, 0.542, 65.7, 76.6, 57.6, 0.367, 54.7, 52.9, 56.5
12032, 3.1, 0.0002125, 2.37, 3.304, 0.519, 63.5, 75.8, 54.7, 0.366, 54.5, 52.8, 56.4
12160, 3.03, 0.00020625, 2.39, 3.298, 0.522, 63.9, 75.8, 55.2, 0.382, 56.0, 53.2, 59.1
12288, 3.1, 0.0002, 2.34, 3.306, 0.529, 64.5, 76.2, 55.9, 0.382, 55.9, 53.5, 58.5
12416, 3.04, 0.00019375, 2.39, 3.319, 0.529, 64.6, 76.0, 56.2, 0.379, 55.8, 53.0, 58.8
12544, 3.11, 0.0001875, 2.38, 3.301, 0.526, 64.4, 75.6, 56.1, 0.377, 55.5, 53.0, 58.4
12672, 2.98, 0.00018125, 2.38, 3.298, 0.533, 64.8, 76.5, 56.2, 0.372, 55.0, 53.3, 56.8
12800, 3.01, 0.000175, 2.33, 3.293, 0.528, 64.6, 75.8, 56.3, 0.379, 55.7, 53.2, 58.4
12928, 2.98, 0.00016875, 2.36, 3.304, 0.523, 64.0, 75.7, 55.5, 0.377, 55.7, 52.9, 58.7
13056, 3.02, 0.0001625, 2.39, 3.294, 0.509, 62.8, 74.9, 54.1, 0.38, 55.9, 52.8, 59.4
13184, 2.99, 0.00015625, 2.32, 3.302, 0.526, 64.4, 75.7, 56.0, 0.375, 55.4, 53.0, 57.9
13312, 2.94, 0.00015, 2.36, 3.299, 0.528, 64.4, 76.0, 55.9, 0.377, 55.6, 53.0, 58.4
13440, 3.18, 0.00014375, 2.41, 3.3, 0.531, 64.8, 76.2, 56.3, 0.381, 56.0, 52.9, 59.3
13568, 2.93, 0.0001375, 2.31, 3.301, 0.533, 65.1, 75.8, 57.0, 0.374, 55.4, 52.7, 58.4
13696, 2.94, 0.00013125, 2.37, 3.3, 0.532, 65.0, 75.9, 56.8, 0.373, 55.4, 52.5, 58.5
13824, 2.99, 0.000125, 2.35, 3.29, 0.535, 65.0, 76.4, 56.6, 0.381, 55.9, 53.1, 59.0
13952, 3.03, 0.00011875, 2.37, 3.299, 0.532, 64.9, 76.1, 56.5, 0.39, 56.7, 53.3, 60.5
14080, 3.24, 0.0001125, 2.31, 3.291, 0.521, 63.7, 76.0, 54.9, 0.372, 55.0, 53.1, 57.1
14208, 2.91, 0.00010625, 2.32, 3.291, 0.519, 63.5, 76.1, 54.5, 0.368, 54.7, 52.9, 56.6
14336, 2.83, 0.0001, 2.3, 3.291, 0.52, 63.8, 75.6, 55.2, 0.376, 55.5, 52.8, 58.6
