step, s/batch, lr, train_loss, dev.quc-dev_loss, dev.quc-mcc, dev.quc-f1, dev.quc-precision, dev.quc-recall
0, n/a, 4.9e-07, n/a, 7.431, 0.119, 34.9, 43.5, 29.2
64, 4.07, 3.125e-05, 6.21, 6.256, 0.113, 37.7, 41.8, 34.3
128, 3.93, 6.25e-05, 4.94, 4.945, 0.237, 49.6, 48.3, 50.9
192, 4.02, 9.375e-05, 4.08, 4.135, 0.293, 54.1, 50.9, 57.6
256, 3.97, 0.000125, 3.55, 3.647, 0.362, 58.6, 54.9, 62.8
320, 4.01, 0.00015625, 3.22, 3.436, 0.402, 61.1, 57.5, 65.1
384, 4.0, 0.0001875, 3.03, 3.367, 0.411, 61.4, 58.5, 64.7
448, 4.05, 0.00021875, 2.88, 3.303, 0.417, 61.8, 59.0, 64.9
512, 3.96, 0.00025, 2.77, 3.276, 0.434, 62.7, 60.9, 64.6
576, 4.13, 0.00024554, 2.64, 3.292, 0.437, 62.7, 61.3, 64.3
640, 3.92, 0.00024107, 2.57, 3.249, 0.444, 63.2, 61.9, 64.5
704, 4.08, 0.00023661, 2.49, 3.232, 0.454, 63.7, 62.8, 64.7
768, 4.05, 0.00023214, 2.44, 3.22, 0.46, 64.0, 63.5, 64.5
832, 4.02, 0.00022768, 2.37, 3.208, 0.467, 64.3, 64.2, 64.5
896, 4.01, 0.00022321, 2.31, 3.203, 0.473, 64.7, 64.8, 64.6
960, 4.03, 0.00021875, 2.27, 3.2, 0.468, 64.2, 64.7, 63.8
1024, 4.02, 0.00021429, 2.22, 3.198, 0.474, 64.7, 65.1, 64.2
1088, 3.97, 0.00020982, 2.17, 3.2, 0.472, 64.5, 65.1, 64.0
1152, 3.99, 0.00020536, 2.17, 3.197, 0.477, 64.8, 65.4, 64.3
1216, 4.08, 0.00020089, 2.11, 3.203, 0.478, 64.8, 65.7, 63.9
1280, 4.07, 0.00019643, 2.1, 3.226, 0.473, 64.4, 65.5, 63.4
1344, 3.96, 0.00019196, 2.06, 3.218, 0.472, 64.3, 65.6, 63.1
1408, 3.8, 0.0001875, 2.04, 3.213, 0.477, 64.6, 66.0, 63.3
1472, 3.89, 0.00018304, 2.01, 3.22, 0.48, 64.8, 66.2, 63.3
1536, 3.93, 0.00017857, 1.97, 3.245, 0.478, 64.5, 66.5, 62.6
1600, 3.9, 0.00017411, 1.98, 3.264, 0.476, 64.4, 66.3, 62.6
1664, 3.81, 0.00016964, 1.97, 3.25, 0.477, 64.5, 66.5, 62.5
1728, 3.79, 0.00016518, 1.95, 3.264, 0.48, 64.5, 66.8, 62.4
1792, 3.81, 0.00016071, 1.94, 3.24, 0.48, 64.5, 66.9, 62.3
1856, 3.92, 0.00015625, 1.87, 3.246, 0.477, 64.3, 66.7, 62.0
1920, 3.76, 0.00015179, 1.91, 3.242, 0.48, 64.5, 66.9, 62.3
1984, 3.9, 0.00014732, 1.88, 3.283, 0.48, 64.5, 66.9, 62.3
2048, 3.79, 0.00014286, 1.85, 3.284, 0.481, 64.6, 67.1, 62.2
2112, 3.83, 0.00013839, 1.89, 3.276, 0.48, 64.5, 67.0, 62.2
2176, 3.79, 0.00013393, 1.83, 3.276, 0.481, 64.5, 67.3, 61.9
2240, 3.86, 0.00012946, 1.85, 3.3, 0.481, 64.4, 67.3, 61.8
2304, 3.84, 0.000125, 1.78, 3.299, 0.479, 64.3, 67.2, 61.7
2368, 3.8, 0.00012054, 1.83, 3.312, 0.475, 63.9, 67.1, 61.0
2432, 3.84, 0.00011607, 1.8, 3.302, 0.481, 64.5, 67.3, 61.9
2496, 3.92, 0.00011161, 1.79, 3.299, 0.476, 64.0, 67.4, 60.9
2560, 3.73, 0.00010714, 1.79, 3.316, 0.48, 64.3, 67.6, 61.3
2624, 3.84, 0.00010268, 1.8, 3.291, 0.48, 64.3, 67.5, 61.4
2688, 3.87, 9.821e-05, 1.76, 3.316, 0.483, 64.6, 67.6, 61.8
2752, 3.82, 9.375e-05, 1.76, 3.317, 0.482, 64.4, 67.7, 61.3
2816, 3.81, 8.929e-05, 1.77, 3.328, 0.484, 64.5, 67.9, 61.5
2880, 3.8, 8.482e-05, 1.74, 3.328, 0.483, 64.4, 67.9, 61.3
2944, 3.76, 8.036e-05, 1.74, 3.338, 0.476, 63.9, 67.5, 60.7
3008, 3.96, 7.589e-05, 1.74, 3.333, 0.481, 64.3, 67.6, 61.3
3072, 3.72, 7.143e-05, 1.74, 3.342, 0.483, 64.5, 67.7, 61.6
3136, 3.84, 6.696e-05, 1.73, 3.346, 0.479, 64.2, 67.7, 61.0
3200, 3.8, 6.25e-05, 1.74, 3.362, 0.477, 64.0, 67.5, 60.9
3264, 3.78, 5.804e-05, 1.72, 3.345, 0.482, 64.4, 67.8, 61.4
3328, 3.88, 5.357e-05, 1.7, 3.345, 0.478, 64.1, 67.5, 61.0
3392, 3.77, 4.911e-05, 1.7, 3.351, 0.479, 64.2, 67.6, 61.1
3456, 3.81, 4.464e-05, 1.7, 3.355, 0.484, 64.5, 68.0, 61.3
3520, 3.78, 4.018e-05, 1.73, 3.346, 0.482, 64.3, 67.8, 61.3
3584, 3.93, 3.571e-05, 1.7, 3.352, 0.485, 64.5, 68.1, 61.4
3648, 3.78, 3.125e-05, 1.7, 3.369, 0.477, 64.0, 67.6, 60.7
3712, 3.69, 2.679e-05, 1.7, 3.345, 0.476, 64.0, 67.3, 61.0
3776, 3.97, 2.232e-05, 1.71, 3.36, 0.482, 64.4, 67.9, 61.2
3840, 3.75, 1.786e-05, 1.69, 3.364, 0.475, 63.9, 67.4, 60.7
3904, 3.86, 1.339e-05, 1.69, 3.352, 0.478, 64.1, 67.6, 60.9
3968, 3.9, 8.93e-06, 1.68, 3.354, 0.476, 64.0, 67.4, 60.9
4032, 3.85, 4.46e-06, 1.69, 3.371, 0.482, 64.4, 67.7, 61.3
4096, 3.77, 0.0, 1.69, 3.366, 0.476, 63.9, 67.3, 60.9
