step, s/batch, lr, train_loss, dev.quc-dev_loss, dev.quc-mcc, dev.quc-f1, dev.quc-precision, dev.quc-recall
0, n/a, 7.3e-07, n/a, 5.87, 0.164, 43.8, 47.8, 40.3
128, 4.03, 9.375e-05, 4.85, 4.608, 0.208, 51.0, 47.8, 54.6
256, 4.05, 0.0001875, 3.49, 3.831, 0.295, 56.5, 52.7, 60.8
384, 3.84, 0.00028125, 2.88, 3.51, 0.342, 59.2, 55.6, 63.2
512, 4.26, 0.000375, 2.56, 3.447, 0.362, 60.3, 57.0, 64.0
640, 4.16, 0.00046875, 2.51, 3.373, 0.387, 61.7, 58.6, 65.2
768, 3.94, 0.0005625, 2.39, 3.324, 0.398, 62.0, 60.2, 64.0
896, 3.92, 0.00065625, 2.25, 3.31, 0.408, 62.4, 61.2, 63.6
1024, 4.03, 0.00075, 2.16, 3.256, 0.407, 61.9, 62.0, 61.9
1152, 3.93, 0.00073661, 2.1, 3.25, 0.42, 62.8, 62.8, 62.7
1280, 4.1, 0.00072321, 1.99, 3.253, 0.421, 62.6, 63.2, 62.1
1408, 4.19, 0.00070982, 2.09, 3.212, 0.423, 62.9, 63.2, 62.5
1536, 4.09, 0.00069643, 1.99, 3.191, 0.437, 63.7, 64.4, 62.9
1664, 4.03, 0.00068304, 1.95, 3.234, 0.431, 62.9, 64.6, 61.3
1792, 3.94, 0.00066964, 2.0, 3.21, 0.437, 63.2, 65.3, 61.3
1920, 3.95, 0.00065625, 1.93, 3.382, 0.44, 63.1, 66.1, 60.3
2048, 3.95, 0.00064286, 1.86, 3.2, 0.438, 62.9, 66.0, 60.0
2176, 3.95, 0.00062946, 1.96, 3.217, 0.436, 62.9, 65.7, 60.3
2304, 3.93, 0.00061607, 1.93, 3.202, 0.431, 62.4, 65.8, 59.3
2432, 3.97, 0.00060268, 1.76, 3.221, 0.441, 63.2, 66.0, 60.6
2560, 3.89, 0.00058929, 1.84, 3.169, 0.454, 64.1, 66.9, 61.5
2688, 4.12, 0.00057589, 1.84, 3.204, 0.452, 63.7, 67.2, 60.6
2816, 4.14, 0.0005625, 1.8, 3.166, 0.44, 62.8, 66.6, 59.4
2944, 3.87, 0.00054911, 1.88, 3.192, 0.453, 63.8, 67.4, 60.5
3072, 3.84, 0.00053571, 1.86, 3.106, 0.452, 63.6, 67.5, 60.1
3200, 4.19, 0.00052232, 1.83, 3.132, 0.451, 63.4, 67.6, 59.7
3328, 4.03, 0.00050893, 1.83, 3.16, 0.445, 63.1, 67.1, 59.6
3456, 3.8, 0.00049554, 1.78, 3.154, 0.456, 63.8, 67.9, 60.2
3584, 4.08, 0.00048214, 1.8, 3.127, 0.453, 63.5, 68.0, 59.5
3712, 3.96, 0.00046875, 1.8, 3.194, 0.452, 63.5, 67.8, 59.6
3840, 4.09, 0.00045536, 1.75, 3.186, 0.445, 62.8, 67.5, 58.8
