step, s/batch, lr, train_loss, dev.quc-dev_loss, dev.quc-mcc, dev.quc-f1, dev.quc-precision, dev.quc-recall
0, n/a, 2.4e-07, n/a, 5.697, 0.251, 48.1, 55.4, 42.5
128, 4.38, 3.125e-05, 5.09, 5.032, 0.261, 52.5, 52.7, 52.3
256, 4.05, 6.25e-05, 4.01, 4.428, 0.303, 57.1, 53.0, 61.8
384, 4.1, 9.375e-05, 3.38, 4.117, 0.346, 60.4, 54.2, 68.2
512, 3.95, 0.000125, 3.05, 3.786, 0.383, 62.6, 55.9, 71.2
640, 4.0, 0.00015625, 2.8, 3.552, 0.407, 64.1, 56.7, 73.8
768, 4.22, 0.0001875, 2.73, 3.512, 0.422, 64.9, 57.8, 74.0
896, 4.13, 0.00021875, 2.52, 3.504, 0.424, 64.9, 58.4, 73.1
1024, 4.11, 0.00025, 2.46, 3.469, 0.428, 65.1, 58.8, 72.8
1152, 4.08, 0.00024554, 2.34, 3.45, 0.43, 65.1, 59.2, 72.2
1280, 4.24, 0.00024107, 2.33, 3.425, 0.432, 65.2, 59.6, 71.9
1408, 4.03, 0.00023661, 2.27, 3.359, 0.434, 65.3, 59.6, 72.2
1536, 4.29, 0.00023214, 2.22, 3.36, 0.429, 64.9, 59.5, 71.4
1664, 4.15, 0.00022768, 2.12, 3.34, 0.429, 64.8, 59.9, 70.6
1792, 4.18, 0.00022321, 2.22, 3.339, 0.435, 65.1, 60.3, 70.8
1920, 4.0, 0.00021875, 2.18, 3.309, 0.433, 65.0, 60.2, 70.7
2048, 4.3, 0.00021429, 2.13, 3.275, 0.431, 64.8, 60.3, 70.0
2176, 4.2, 0.00020982, 1.98, 3.246, 0.44, 65.4, 60.9, 70.6
2304, 4.18, 0.00020536, 2.09, 3.231, 0.441, 65.4, 60.9, 70.6
2432, 4.16, 0.00020089, 2.15, 3.248, 0.437, 65.1, 60.8, 70.2
2560, 4.09, 0.00019643, 1.98, 3.252, 0.436, 65.0, 60.9, 69.7
2688, 4.25, 0.00019196, 2.02, 3.227, 0.445, 65.5, 61.6, 69.9
2816, 4.26, 0.0001875, 2.03, 3.323, 0.453, 65.9, 62.3, 70.0
2944, 4.26, 0.00018304, 2.16, 3.232, 0.457, 66.2, 62.5, 70.2
3072, 4.16, 0.00017857, 1.99, 3.208, 0.45, 65.8, 62.1, 69.9
3200, 4.39, 0.00017411, 1.94, 3.202, 0.451, 65.8, 62.2, 69.9
3328, 4.13, 0.00016964, 2.01, 3.207, 0.453, 65.9, 62.5, 69.7
3456, 4.08, 0.00016518, 2.01, 3.203, 0.452, 65.8, 62.3, 69.7
3584, 4.24, 0.00016071, 1.9, 3.21, 0.454, 65.9, 62.5, 69.8
3712, 4.24, 0.00015625, 1.95, 3.197, 0.451, 65.6, 62.5, 69.2
3840, 3.95, 0.00015179, 1.98, 3.198, 0.455, 66.0, 62.6, 69.7
3968, 4.29, 0.00014732, 1.95, 3.214, 0.453, 65.9, 62.6, 69.5
4096, 4.22, 0.00014286, 1.98, 3.191, 0.447, 65.3, 62.5, 68.4
4224, 4.26, 0.00013839, 1.92, 3.253, 0.452, 65.7, 62.9, 68.7
4352, 4.2, 0.00013393, 1.95, 3.215, 0.453, 65.7, 62.8, 69.0
4480, 3.98, 0.00012946, 1.93, 3.219, 0.454, 65.8, 62.9, 69.0
4608, 4.18, 0.000125, 1.93, 3.18, 0.45, 65.5, 62.8, 68.4
4736, 4.03, 0.00012054, 1.95, 3.174, 0.446, 65.1, 62.8, 67.7
4864, 4.03, 0.00011607, 2.01, 3.237, 0.45, 65.5, 62.9, 68.3
4992, 4.14, 0.00011161, 1.86, 3.24, 0.452, 65.6, 62.9, 68.5
5120, 4.02, 0.00010714, 1.89, 3.193, 0.453, 65.7, 63.1, 68.4
5248, 4.04, 0.00010268, 1.85, 3.199, 0.445, 65.1, 62.6, 67.8
5376, 4.14, 9.821e-05, 1.94, 3.194, 0.45, 65.4, 63.1, 67.9
5504, 4.38, 9.375e-05, 1.87, 3.187, 0.45, 65.4, 63.0, 68.0
5632, 3.81, 8.929e-05, 1.98, 3.205, 0.457, 65.8, 63.5, 68.3
5760, 4.19, 8.482e-05, 1.81, 3.196, 0.457, 65.9, 63.4, 68.5
5888, 4.2, 8.036e-05, 1.97, 3.167, 0.459, 66.0, 63.6, 68.5
6016, 4.23, 7.589e-05, 1.86, 3.194, 0.452, 65.4, 63.4, 67.6
6144, 4.1, 7.143e-05, 1.83, 3.195, 0.454, 65.6, 63.5, 67.8
6272, 4.14, 6.696e-05, 1.91, 3.185, 0.456, 65.7, 63.7, 67.7
6400, 4.01, 6.25e-05, 1.9, 3.181, 0.457, 65.7, 63.6, 67.9
6528, 3.98, 5.804e-05, 1.92, 3.162, 0.457, 65.7, 63.8, 67.9
6656, 4.21, 5.357e-05, 1.82, 3.187, 0.459, 65.8, 63.9, 67.9
6784, 3.97, 4.911e-05, 1.91, 3.182, 0.46, 65.9, 63.9, 68.0
6912, 4.08, 4.464e-05, 1.87, 3.17, 0.456, 65.7, 63.7, 67.8
7040, 4.12, 4.018e-05, 1.83, 3.161, 0.461, 66.0, 64.1, 68.0
7168, 4.14, 3.571e-05, 1.95, 3.171, 0.46, 65.9, 64.0, 68.0
