step, s/batch, lr, train_loss, dev.quc-dev_loss, dev.quc-mcc, dev.quc-f1, dev.quc-precision, dev.quc-recall
0, n/a, 4.9e-07, n/a, 5.69, 0.251, 48.2, 55.3, 42.7
128, 3.83, 6.25e-05, 4.87, 4.751, 0.26, 52.9, 52.2, 53.5
256, 3.95, 0.000125, 3.68, 4.076, 0.325, 58.4, 54.1, 63.5
384, 3.83, 0.0001875, 3.11, 3.778, 0.362, 61.1, 55.4, 68.2
512, 3.78, 0.00025, 2.8, 3.611, 0.393, 63.0, 56.9, 70.7
640, 3.88, 0.0003125, 2.61, 3.595, 0.401, 63.5, 57.3, 71.2
768, 3.81, 0.000375, 2.44, 3.485, 0.414, 64.0, 58.6, 70.6
896, 3.91, 0.0004375, 2.34, 3.445, 0.428, 65.0, 59.1, 72.1
1024, 3.87, 0.0005, 2.26, 3.408, 0.427, 64.7, 59.7, 70.7
1152, 3.77, 0.00049107, 2.17, 3.41, 0.433, 64.9, 60.6, 70.0
1280, 3.88, 0.00048214, 2.09, 3.397, 0.436, 65.1, 60.7, 70.1
1408, 3.8, 0.00047321, 1.99, 3.4, 0.43, 64.7, 60.3, 69.9
1536, 3.82, 0.00046429, 2.0, 3.364, 0.436, 65.0, 60.8, 69.9
1664, 3.76, 0.00045536, 1.95, 3.442, 0.442, 65.4, 61.1, 70.3
1792, 3.84, 0.00044643, 1.89, 3.392, 0.451, 65.8, 62.2, 69.8
1920, 3.76, 0.0004375, 1.87, 3.38, 0.448, 65.6, 61.9, 69.9
2048, 3.8, 0.00042857, 1.82, 3.416, 0.447, 65.4, 62.3, 68.9
2176, 3.76, 0.00041964, 1.84, 3.396, 0.454, 65.8, 62.9, 68.9
2304, 3.8, 0.00041071, 1.78, 3.444, 0.455, 65.8, 63.0, 68.9
2432, 3.83, 0.00040179, 1.75, 3.468, 0.444, 64.9, 62.9, 67.1
2560, 3.78, 0.00039286, 1.8, 3.415, 0.457, 65.9, 63.3, 68.6
2688, 3.82, 0.00038393, 1.69, 3.467, 0.45, 65.4, 63.1, 67.8
2816, 3.77, 0.000375, 1.74, 3.5, 0.453, 65.6, 63.1, 68.4
2944, 3.84, 0.00036607, 1.7, 3.492, 0.456, 65.6, 63.9, 67.5
3072, 3.68, 0.00035714, 1.68, 3.493, 0.455, 65.7, 63.5, 67.9
3200, 3.88, 0.00034821, 1.69, 3.526, 0.461, 65.9, 64.1, 67.8
3328, 3.8, 0.00033929, 1.65, 3.568, 0.455, 65.6, 63.9, 67.3
3456, 3.83, 0.00033036, 1.62, 3.576, 0.455, 65.6, 63.8, 67.4
3584, 3.79, 0.00032143, 1.65, 3.581, 0.456, 65.6, 64.0, 67.2
3712, 3.8, 0.0003125, 1.61, 3.647, 0.452, 65.2, 64.1, 66.4
3840, 3.78, 0.00030357, 1.58, 3.658, 0.457, 65.6, 64.1, 67.0
3968, 3.85, 0.00029464, 1.63, 3.703, 0.451, 65.1, 63.9, 66.4
4096, 3.77, 0.00028571, 1.56, 3.717, 0.44, 64.4, 63.2, 65.7
4224, 3.84, 0.00027679, 1.57, 3.684, 0.455, 65.4, 64.2, 66.5
4352, 3.76, 0.00026786, 1.58, 3.644, 0.449, 65.0, 63.8, 66.4
4480, 3.8, 0.00025893, 1.51, 3.729, 0.45, 65.2, 63.7, 66.7
4608, 3.78, 0.00025, 1.54, 3.725, 0.437, 64.1, 63.4, 64.8
4736, 3.73, 0.00024107, 1.51, 3.753, 0.448, 65.0, 63.7, 66.3
4864, 3.84, 0.00023214, 1.53, 3.749, 0.442, 64.5, 63.4, 65.7
4992, 3.82, 0.00022321, 1.5, 3.75, 0.441, 64.5, 63.3, 65.8
5120, 3.83, 0.00021429, 1.47, 3.76, 0.445, 64.7, 63.7, 65.7
5248, 3.78, 0.00020536, 1.52, 3.803, 0.446, 64.7, 63.8, 65.6
5376, 3.79, 0.00019643, 1.45, 3.809, 0.44, 64.4, 63.4, 65.4
5504, 3.8, 0.0001875, 1.46, 3.848, 0.449, 65.0, 63.9, 66.1
5632, 3.76, 0.00017857, 1.49, 3.866, 0.446, 64.8, 63.5, 66.1
5760, 3.76, 0.00016964, 1.41, 3.849, 0.44, 64.3, 63.5, 65.2
5888, 3.95, 0.00016071, 1.47, 3.892, 0.433, 63.9, 62.9, 65.0
6016, 3.73, 0.00015179, 1.43, 3.923, 0.435, 64.0, 63.2, 64.8
6144, 3.83, 0.00014286, 1.45, 3.888, 0.43, 63.7, 62.9, 64.6
6272, 3.76, 0.00013393, 1.41, 3.948, 0.434, 64.0, 63.0, 65.1
6400, 3.84, 0.000125, 1.43, 3.89, 0.436, 64.1, 63.3, 64.9
6528, 3.82, 0.00011607, 1.38, 3.974, 0.429, 63.6, 62.8, 64.4
6656, 3.78, 0.00010714, 1.44, 3.974, 0.438, 64.2, 63.4, 65.1
6784, 3.8, 9.821e-05, 1.35, 3.975, 0.432, 63.8, 63.0, 64.7
6912, 3.77, 8.929e-05, 1.43, 3.94, 0.44, 64.3, 63.4, 65.3
7040, 3.8, 8.036e-05, 1.38, 3.975, 0.431, 63.8, 63.0, 64.5
7168, 3.8, 7.143e-05, 1.41, 4.022, 0.43, 63.7, 62.7, 64.8
7296, 3.88, 6.25e-05, 1.38, 3.974, 0.435, 64.0, 63.2, 64.9
7424, 3.74, 5.357e-05, 1.37, 3.992, 0.433, 64.0, 62.9, 65.1
7552, 3.76, 4.464e-05, 1.37, 3.98, 0.435, 63.9, 63.3, 64.6
7680, 3.78, 3.571e-05, 1.37, 3.971, 0.429, 63.6, 62.8, 64.4
7808, 3.86, 2.679e-05, 1.4, 4.006, 0.431, 63.7, 62.9, 64.6
7936, 3.78, 1.786e-05, 1.37, 3.999, 0.431, 63.7, 63.1, 64.3
8064, 3.82, 8.93e-06, 1.38, 4.005, 0.431, 63.7, 63.0, 64.5
8192, 3.75, 0.0, 1.35, 4.032, 0.43, 63.7, 63.0, 64.4
