step, s/batch, lr, train_loss, dev.quc-dev_loss, dev.quc-mcc, dev.quc-f1, dev.quc-precision, dev.quc-recall
0, n/a, 4.88e-06, n/a, 5.693, 0.258, 48.8, 55.7, 43.4
128, 4.25, 0.000625, 3.88, 3.93, 0.399, 62.8, 58.7, 67.5
256, 3.95, 0.00125, 2.74, 3.538, 0.461, 66.4, 62.8, 70.4
384, 4.07, 0.001875, 2.45, 3.392, 0.48, 67.3, 64.7, 70.2
512, 3.97, 0.0025, 2.41, 3.497, 0.505, 68.5, 67.5, 69.5
640, 3.92, 0.003125, 2.57, 3.486, 0.473, 63.7, 71.5, 57.5
768, 3.7, 0.00375, 2.57, 3.569, 0.501, 65.2, 74.6, 57.9
896, 3.64, 0.004375, 2.52, 3.449, 0.527, 67.2, 76.1, 60.1
1024, 3.73, 0.005, 2.45, 3.486, 0.513, 65.2, 77.0, 56.5
1152, 3.41, 0.00491071, 2.28, 3.507, 0.516, 65.2, 77.9, 56.0
1280, 3.85, 0.00482143, 2.3, 3.466, 0.527, 65.0, 80.5, 54.5
1408, 3.67, 0.00473214, 2.28, 3.561, 0.524, 64.3, 81.2, 53.3
1536, 3.79, 0.00464286, 2.23, 3.375, 0.523, 63.6, 82.2, 51.9
1664, 3.8, 0.00455357, 2.15, 3.401, 0.514, 62.7, 82.0, 50.7
1792, 3.67, 0.00446429, 2.13, 3.327, 0.514, 62.2, 83.1, 49.7
1920, 3.79, 0.004375, 2.15, 3.288, 0.517, 61.8, 84.5, 48.7
2048, 3.59, 0.00428571, 2.13, 3.32, 0.538, 63.6, 85.5, 50.6
2176, 3.84, 0.00419643, 2.09, 3.319, 0.533, 62.0, 87.5, 48.0
2304, 3.7, 0.00410714, 2.07, 3.326, 0.553, 62.5, 91.2, 47.5
2432, 3.82, 0.00401786, 2.12, 3.27, 0.572, 64.8, 91.1, 50.3
2560, 3.81, 0.00392857, 2.01, 3.253, 0.561, 63.4, 91.2, 48.6
2688, 3.73, 0.00383929, 2.07, 3.204, 0.568, 63.6, 92.3, 48.5
2816, 3.77, 0.00375, 2.05, 3.306, 0.57, 63.6, 92.9, 48.4
2944, 3.77, 0.00366071, 2.12, 3.234, 0.567, 63.3, 92.8, 48.0
3072, 3.72, 0.00357143, 2.15, 3.261, 0.57, 63.7, 92.7, 48.5
