step, s/batch, lr, train_loss, dev.quc-dev_loss, dev.quc-mcc, dev.quc-f1, dev.quc-precision, dev.quc-recall
0, n/a, 9.8e-07, n/a, 7.697, -0.013, 12.7, 31.1, 8.0
128, 3.78, 0.000125, 6.33, 4.896, -0.027, 18.2, 30.0, 13.0
256, 3.88, 0.00025, 4.35, 4.077, -0.057, 18.1, 27.0, 13.6
384, 4.0, 0.000375, 3.63, 3.524, 0.026, 24.2, 35.7, 18.3
512, 4.02, 0.0005, 3.27, 3.381, 0.057, 25.6, 39.2, 19.1
640, 3.7, 0.000625, 3.05, 3.356, 0.08, 27.4, 41.7, 20.4
768, 3.61, 0.00075, 2.77, 3.384, 0.137, 31.4, 47.7, 23.4
896, 3.58, 0.000875, 2.6, 3.392, 0.144, 30.5, 49.3, 22.1
1024, 3.83, 0.001, 2.44, 3.288, 0.198, 35.3, 54.6, 26.1
1152, 3.78, 0.00098214, 2.42, 3.256, 0.289, 42.7, 63.2, 32.3
1280, 3.73, 0.00096429, 2.35, 3.227, 0.31, 44.5, 65.1, 33.8
1408, 3.84, 0.00094643, 2.16, 3.244, 0.363, 49.2, 69.3, 38.1
1536, 3.78, 0.00092857, 2.11, 3.201, 0.371, 48.9, 71.3, 37.2
1664, 3.67, 0.00091071, 2.09, 3.155, 0.413, 53.4, 73.2, 42.0
1792, 3.62, 0.00089286, 1.97, 3.081, 0.444, 56.4, 74.8, 45.3
1920, 3.85, 0.000875, 1.83, 3.149, 0.449, 56.8, 75.3, 45.7
2048, 3.68, 0.00085714, 1.98, 3.067, 0.474, 58.8, 77.3, 47.4
2176, 3.68, 0.00083929, 1.87, 3.067, 0.489, 60.1, 78.2, 48.8
2304, 3.73, 0.00082143, 1.85, 3.12, 0.469, 57.1, 79.0, 44.7
2432, 3.56, 0.00080357, 1.76, 3.012, 0.494, 60.1, 79.3, 48.4
2560, 3.9, 0.00078571, 1.87, 3.0, 0.494, 60.3, 78.9, 48.8
2688, 4.02, 0.00076786, 1.69, 3.024, 0.504, 61.0, 79.8, 49.4
2816, 4.01, 0.00075, 1.7, 2.946, 0.521, 62.8, 80.4, 51.5
2944, 3.49, 0.00073214, 1.82, 3.02, 0.523, 62.6, 80.9, 51.1
3072, 3.7, 0.00071429, 1.66, 3.046, 0.502, 60.2, 80.9, 47.9
3200, 3.77, 0.00069643, 1.68, 3.002, 0.52, 62.1, 81.5, 50.1
3328, 3.73, 0.00067857, 1.6, 2.981, 0.536, 63.8, 81.7, 52.3
3456, 3.88, 0.00066071, 1.64, 2.944, 0.546, 64.4, 82.9, 52.6
3584, 3.71, 0.00064286, 1.65, 2.962, 0.548, 64.2, 83.8, 52.0
3712, 3.85, 0.000625, 1.56, 2.938, 0.563, 65.7, 84.0, 54.0
3840, 3.85, 0.00060714, 1.7, 2.949, 0.562, 65.6, 84.1, 53.8
3968, 3.57, 0.00058929, 1.58, 2.9, 0.567, 65.9, 84.9, 53.8
4096, 3.74, 0.00057143, 1.66, 2.846, 0.579, 67.2, 84.7, 55.8
4224, 3.97, 0.00055357, 1.48, 2.866, 0.573, 66.5, 84.9, 54.7
4352, 3.66, 0.00053571, 1.62, 2.858, 0.576, 66.5, 85.9, 54.2
4480, 3.68, 0.00051786, 1.58, 2.883, 0.58, 67.2, 84.9, 55.6
4608, 3.81, 0.0005, 1.52, 2.851, 0.588, 67.8, 85.7, 56.0
4736, 3.79, 0.00048214, 1.56, 2.898, 0.582, 67.1, 85.6, 55.2
4864, 3.77, 0.00046429, 1.57, 2.858, 0.583, 67.3, 85.7, 55.4
4992, 3.81, 0.00044643, 1.47, 2.886, 0.58, 67.1, 85.5, 55.2
5120, 3.54, 0.00042857, 1.43, 2.862, 0.585, 67.4, 85.9, 55.5
5248, 3.76, 0.00041071, 1.6, 2.851, 0.587, 67.5, 86.2, 55.5
5376, 3.67, 0.00039286, 1.49, 2.813, 0.587, 67.7, 85.6, 56.0
5504, 3.74, 0.000375, 1.52, 2.802, 0.595, 68.2, 86.5, 56.3
5632, 3.81, 0.00035714, 1.4, 2.791, 0.599, 68.6, 86.7, 56.7
5760, 3.87, 0.00033929, 1.46, 2.798, 0.597, 68.3, 86.7, 56.4
5888, 3.76, 0.00032143, 1.41, 2.797, 0.591, 67.7, 86.9, 55.4
6016, 3.74, 0.00030357, 1.5, 2.792, 0.596, 68.3, 86.7, 56.3
6144, 3.88, 0.00028571, 1.51, 2.801, 0.601, 68.6, 87.1, 56.5
6272, 3.87, 0.00026786, 1.37, 2.783, 0.606, 69.1, 87.2, 57.2
6400, 3.44, 0.00025, 1.43, 2.792, 0.598, 68.5, 86.7, 56.6
6528, 3.8, 0.00023214, 1.41, 2.794, 0.605, 69.0, 87.3, 57.1
6656, 3.78, 0.00021429, 1.5, 2.805, 0.603, 68.9, 86.9, 57.0
6784, 3.87, 0.00019643, 1.42, 2.8, 0.605, 69.1, 86.9, 57.4
6912, 3.82, 0.00017857, 1.42, 2.782, 0.606, 69.1, 87.3, 57.2
7040, 3.76, 0.00016071, 1.36, 2.8, 0.6, 68.4, 87.4, 56.2
7168, 3.78, 0.00014286, 1.42, 2.774, 0.606, 69.1, 87.5, 57.0
7296, 3.89, 0.000125, 1.46, 2.785, 0.609, 69.4, 87.4, 57.5
7424, 3.56, 0.00010714, 1.4, 2.78, 0.61, 69.4, 87.5, 57.5
7552, 3.57, 8.929e-05, 1.4, 2.781, 0.608, 69.3, 87.3, 57.5
7680, 3.79, 7.143e-05, 1.42, 2.778, 0.606, 69.1, 87.3, 57.1
7808, 3.68, 5.357e-05, 1.46, 2.777, 0.609, 69.3, 87.4, 57.4
7936, 3.8, 3.571e-05, 1.42, 2.779, 0.607, 69.2, 87.2, 57.3
8064, 3.78, 1.786e-05, 1.44, 2.786, 0.608, 69.2, 87.6, 57.2
8192, 3.86, 0.0, 1.33, 2.777, 0.607, 69.2, 87.3, 57.3
