step, s/batch, lr, train_loss, dev.quy-dev_loss
0, n/a, 9.8e-07, n/a, 7.672
128, 2.59, 0.000125, 6.36, 4.236
256, 2.59, 0.00025, 3.81, 3.464
384, 2.59, 0.000375, 3.13, 3.235
512, 2.61, 0.0005, 2.83, 3.215
640, 2.6, 0.000625, 2.62, 3.004
768, 2.6, 0.00075, 2.46, 2.925
896, 2.53, 0.000875, 2.3, 2.849
1024, 2.57, 0.001, 2.19, 2.841
1152, 2.59, 0.00099167, 2.17, 2.816
1280, 2.65, 0.00098333, 2.14, 2.799
1408, 2.53, 0.000975, 2.07, 2.813
1536, 2.5, 0.00096667, 2.03, 2.775
1664, 2.54, 0.00095833, 2.0, 2.772
1792, 2.55, 0.00095, 1.98, 2.783
1920, 2.58, 0.00094167, 1.96, 2.758
2048, 2.51, 0.00093333, 1.93, 2.762
2176, 2.53, 0.000925, 1.9, 2.759
2304, 2.55, 0.00091667, 1.9, 2.731
2432, 2.57, 0.00090833, 1.88, 2.726
2560, 2.56, 0.0009, 1.87, 2.729
2688, 2.52, 0.00089167, 1.86, 2.734
2816, 2.51, 0.00088333, 1.86, 2.72
2944, 2.53, 0.000875, 1.83, 2.717
3072, 2.53, 0.00086667, 1.82, 2.701
3200, 2.53, 0.00085833, 1.82, 2.741
3328, 2.52, 0.00085, 1.8, 2.747
3456, 2.62, 0.00084167, 1.82, 2.715
3584, 2.55, 0.00083333, 1.81, 2.719
3712, 2.59, 0.000825, 1.82, 2.726
3840, 2.58, 0.00081667, 1.79, 2.733
3968, 2.52, 0.00080833, 1.79, 2.723
4096, 2.59, 0.0008, 1.79, 2.702
4224, 2.54, 0.00079167, 1.78, 2.725
4352, 2.58, 0.00078333, 1.78, 2.733
4480, 2.56, 0.000775, 1.77, 2.712
4608, 2.55, 0.00076667, 1.77, 2.724
4736, 2.52, 0.00075833, 1.76, 2.697
4864, 2.54, 0.00075, 1.77, 2.717
4992, 2.54, 0.00074167, 1.74, 2.695
5120, 2.55, 0.00073333, 1.75, 2.698
5248, 2.56, 0.000725, 1.74, 2.719
5376, 2.55, 0.00071667, 1.75, 2.712
5504, 2.51, 0.00070833, 1.74, 2.715
5632, 2.57, 0.0007, 1.75, 2.682
5760, 2.56, 0.00069167, 1.74, 2.72
5888, 2.53, 0.00068333, 1.73, 2.687
6016, 2.56, 0.000675, 1.72, 2.704
6144, 2.53, 0.00066667, 1.71, 2.721
6272, 2.5, 0.00065833, 1.72, 2.727
6400, 2.54, 0.00065, 1.72, 2.697
6528, 2.56, 0.00064167, 1.73, 2.724
6656, 2.56, 0.00063333, 1.71, 2.709
6784, 2.53, 0.000625, 1.71, 2.726
6912, 2.44, 0.00061667, 1.69, 2.71
7040, 2.41, 0.00060833, 1.7, 2.72
7168, 2.44, 0.0006, 1.71, 2.711
7296, 2.58, 0.00059167, 1.73, 2.696
7424, 2.52, 0.00058333, 1.71, 2.7
7552, 2.55, 0.000575, 1.71, 2.702
7680, 2.58, 0.00056667, 1.71, 2.708
7808, 2.55, 0.00055833, 1.7, 2.709
7936, 2.5, 0.00055, 1.69, 2.703
8064, 2.57, 0.00054167, 1.7, 2.675
8192, 2.5, 0.00053333, 1.69, 2.702
8320, 2.53, 0.000525, 1.7, 2.712
8448, 2.58, 0.00051667, 1.69, 2.694
8576, 2.54, 0.00050833, 1.7, 2.679
8704, 2.58, 0.0005, 1.68, 2.684
8832, 2.57, 0.00049167, 1.68, 2.704
8960, 2.54, 0.00048333, 1.68, 2.698
9088, 2.53, 0.000475, 1.67, 2.695
9216, 2.55, 0.00046667, 1.68, 2.704
9344, 2.54, 0.00045833, 1.69, 2.696
9472, 2.55, 0.00045, 1.67, 2.685
9600, 2.55, 0.00044167, 1.69, 2.703
9728, 2.53, 0.00043333, 1.67, 2.693
9856, 2.53, 0.000425, 1.68, 2.706
9984, 2.56, 0.00041667, 1.68, 2.713
10112, 2.57, 0.00040833, 1.68, 2.695
10240, 2.51, 0.0004, 1.66, 2.688
10368, 2.49, 0.00039167, 1.66, 2.701
10496, 2.55, 0.00038333, 1.67, 2.715
10624, 2.54, 0.000375, 1.66, 2.703
10752, 2.55, 0.00036667, 1.67, 2.71
10880, 2.55, 0.00035833, 1.66, 2.692
11008, 2.56, 0.00035, 1.65, 2.701
11136, 2.58, 0.00034167, 1.66, 2.675
11264, 2.54, 0.00033333, 1.64, 2.689
11392, 2.49, 0.000325, 1.65, 2.69
11520, 2.57, 0.00031667, 1.65, 2.71
11648, 2.62, 0.00030833, 1.65, 2.683
11776, 2.58, 0.0003, 1.66, 2.685
11904, 2.52, 0.00029167, 1.65, 2.683
12032, 2.51, 0.00028333, 1.64, 2.683
12160, 2.58, 0.000275, 1.65, 2.686
12288, 2.58, 0.00026667, 1.65, 2.691
12416, 2.55, 0.00025833, 1.65, 2.693
12544, 2.53, 0.00025, 1.65, 2.694
