step, s/batch, lr, train_loss, dev.quc-dev_loss, dev.quc-mcc, dev.quc-f1, dev.quc-precision, dev.quc-recall
0, n/a, 4.9e-07, n/a, 7.726, -0.051, 10.5, 27.8, 6.4
128, 3.89, 6.25e-05, 6.8, 5.477, 0.011, 14.4, 37.6, 8.9
256, 3.95, 0.000125, 4.55, 4.605, 0.108, 26.1, 49.3, 17.7
384, 3.91, 0.0001875, 4.02, 3.877, 0.199, 32.8, 60.0, 22.6
512, 4.13, 0.00025, 3.55, 3.699, 0.297, 40.1, 71.1, 27.9
640, 4.02, 0.0003125, 3.29, 3.57, 0.365, 47.1, 75.6, 34.2
768, 4.1, 0.000375, 2.96, 3.522, 0.399, 50.0, 78.5, 36.7
896, 4.02, 0.0004375, 2.69, 3.532, 0.471, 57.3, 82.3, 44.0
1024, 4.09, 0.0005, 2.49, 3.445, 0.49, 60.5, 80.8, 48.4
1152, 3.98, 0.00049107, 2.45, 3.471, 0.523, 62.9, 83.7, 50.4
1280, 3.75, 0.00048214, 2.37, 3.316, 0.553, 65.6, 85.0, 53.5
1408, 3.88, 0.00047321, 2.11, 3.309, 0.562, 66.6, 85.3, 54.6
1536, 4.09, 0.00046429, 2.13, 3.472, 0.575, 68.0, 85.0, 56.7
1664, 4.09, 0.00045536, 2.08, 3.262, 0.586, 68.8, 86.0, 57.3
1792, 3.96, 0.00044643, 2.11, 3.263, 0.597, 69.8, 86.2, 58.7
1920, 3.89, 0.0004375, 2.02, 3.258, 0.606, 70.5, 86.8, 59.4
2048, 4.15, 0.00042857, 1.89, 3.29, 0.615, 71.7, 86.2, 61.4
2176, 4.19, 0.00041964, 1.9, 3.24, 0.614, 71.3, 87.1, 60.3
2304, 4.04, 0.00041071, 1.91, 3.26, 0.617, 71.4, 87.5, 60.3
2432, 4.02, 0.00040179, 1.88, 3.131, 0.627, 72.3, 87.9, 61.4
2560, 4.03, 0.00039286, 1.81, 3.173, 0.63, 72.7, 87.6, 62.1
2688, 4.17, 0.00038393, 1.87, 3.173, 0.632, 72.7, 87.9, 62.0
2816, 4.02, 0.000375, 1.73, 3.142, 0.621, 71.5, 88.2, 60.2
2944, 3.87, 0.00036607, 1.84, 3.157, 0.632, 72.7, 88.1, 61.9
3072, 3.96, 0.00035714, 1.78, 3.133, 0.641, 73.5, 88.3, 62.9
3200, 4.16, 0.00034821, 1.77, 3.089, 0.64, 73.5, 88.1, 63.1
3328, 3.93, 0.00033929, 1.77, 3.14, 0.642, 73.6, 88.1, 63.3
3456, 4.01, 0.00033036, 1.75, 3.181, 0.637, 73.1, 88.3, 62.3
3584, 3.87, 0.00032143, 1.79, 3.1, 0.637, 73.2, 88.1, 62.7
3712, 3.97, 0.0003125, 1.77, 3.148, 0.639, 73.4, 88.1, 62.9
3840, 4.25, 0.00030357, 1.68, 3.119, 0.638, 73.5, 87.5, 63.3
3968, 3.83, 0.00029464, 1.75, 3.136, 0.654, 74.5, 88.9, 64.2
4096, 4.05, 0.00028571, 1.65, 3.109, 0.65, 74.4, 88.3, 64.3
4224, 3.93, 0.00027679, 1.64, 3.115, 0.645, 73.9, 88.3, 63.5
4352, 3.92, 0.00026786, 1.73, 3.117, 0.646, 74.0, 88.4, 63.6
4480, 3.96, 0.00025893, 1.64, 3.136, 0.652, 74.5, 88.5, 64.3
4608, 3.95, 0.00025, 1.66, 3.136, 0.648, 74.1, 88.5, 63.8
4736, 3.84, 0.00024107, 1.63, 3.141, 0.655, 74.8, 88.5, 64.7
4864, 3.82, 0.00023214, 1.67, 3.108, 0.653, 74.5, 88.8, 64.2
4992, 3.98, 0.00022321, 1.61, 3.098, 0.654, 74.7, 88.7, 64.5
5120, 3.9, 0.00021429, 1.66, 3.116, 0.653, 74.6, 88.4, 64.6
5248, 4.0, 0.00020536, 1.57, 3.132, 0.651, 74.4, 88.8, 64.0
5376, 3.92, 0.00019643, 1.58, 3.074, 0.651, 74.3, 88.9, 63.9
5504, 4.17, 0.0001875, 1.58, 3.091, 0.662, 75.3, 89.0, 65.2
5632, 3.98, 0.00017857, 1.55, 3.072, 0.662, 75.3, 89.0, 65.3
5760, 3.9, 0.00016964, 1.62, 3.038, 0.658, 75.0, 88.7, 65.0
5888, 4.09, 0.00016071, 1.62, 3.067, 0.651, 74.3, 88.8, 63.9
6016, 3.85, 0.00015179, 1.5, 3.084, 0.657, 74.8, 89.2, 64.4
6144, 4.06, 0.00014286, 1.57, 3.06, 0.659, 75.0, 89.0, 64.8
6272, 3.9, 0.00013393, 1.54, 3.069, 0.655, 74.7, 88.8, 64.5
6400, 3.86, 0.000125, 1.63, 3.064, 0.659, 75.0, 89.0, 64.8
6528, 4.2, 0.00011607, 1.55, 3.079, 0.659, 75.1, 89.0, 64.9
6656, 3.87, 0.00010714, 1.54, 3.033, 0.659, 75.2, 88.6, 65.2
6784, 3.96, 9.821e-05, 1.57, 3.039, 0.662, 75.4, 88.8, 65.5
