step, s/batch, lr, train_loss, dev.quc-dev_loss, dev.quc-mcc, dev.quc-f1, dev.quc-precision, dev.quc-recall
0, n/a, 4.9e-07, n/a, 7.089, 0.031, 15.4, 40.8, 9.5
64, 3.75, 3.125e-05, 6.67, 6.87, -0.052, 10.4, 27.5, 6.4
128, 3.76, 6.25e-05, 6.02, 5.369, -0.086, 10.1, 23.4, 6.4
192, 3.75, 9.375e-05, 4.75, 4.822, -0.065, 21.9, 29.8, 17.4
256, 3.72, 0.000125, 4.58, 4.66, -0.058, 23.6, 30.7, 19.2
320, 3.77, 0.00015625, 4.4, 4.413, -0.061, 29.8, 31.6, 28.2
384, 3.75, 0.0001875, 4.13, 3.976, -0.062, 31.5, 31.8, 31.2
448, 3.74, 0.00021875, 3.89, 3.787, -0.055, 31.9, 32.2, 31.5
512, 3.8, 0.00025, 3.76, 3.67, -0.06, 30.9, 31.8, 30.0
576, 3.75, 0.00024554, 3.65, 3.694, -0.08, 28.2, 30.2, 26.4
640, 3.76, 0.00024107, 3.56, 3.594, -0.09, 27.2, 29.4, 25.4
704, 3.7, 0.00023661, 3.48, 3.585, -0.1, 26.0, 28.5, 23.8
768, 3.72, 0.00023214, 3.4, 3.622, -0.082, 28.1, 30.0, 26.5
832, 3.72, 0.00022768, 3.3, 3.599, -0.103, 24.8, 28.0, 22.3
896, 3.71, 0.00022321, 3.23, 3.582, -0.107, 24.7, 27.7, 22.2
960, 3.72, 0.00021875, 3.13, 3.629, -0.088, 26.1, 29.2, 23.5
1024, 3.67, 0.00021429, 3.03, 3.71, -0.072, 28.2, 30.6, 26.1
1088, 3.72, 0.00020982, 2.96, 3.752, -0.083, 25.4, 29.4, 22.4
1152, 3.66, 0.00020536, 2.88, 3.776, -0.081, 26.3, 29.7, 23.7
1216, 3.67, 0.00020089, 2.81, 3.832, -0.086, 25.4, 29.2, 22.5
1280, 3.68, 0.00019643, 2.72, 3.905, -0.066, 27.6, 30.9, 25.0
1344, 3.68, 0.00019196, 2.66, 3.936, -0.074, 26.9, 30.2, 24.2
1408, 3.73, 0.0001875, 2.59, 4.045, -0.075, 26.0, 30.0, 23.0
1472, 3.67, 0.00018304, 2.53, 4.062, -0.063, 27.1, 31.0, 24.2
1536, 3.69, 0.00017857, 2.48, 4.103, -0.058, 28.3, 31.5, 25.6
1600, 3.69, 0.00017411, 2.43, 4.2, -0.056, 28.3, 31.6, 25.6
1664, 3.63, 0.00016964, 2.38, 4.188, -0.061, 27.1, 31.1, 24.0
1728, 3.67, 0.00016518, 2.33, 4.263, -0.077, 25.8, 29.9, 22.8
1792, 3.72, 0.00016071, 2.28, 4.338, -0.064, 27.0, 30.9, 23.9
1856, 3.65, 0.00015625, 2.24, 4.362, -0.061, 27.0, 31.1, 23.9
1920, 3.65, 0.00015179, 2.21, 4.466, -0.053, 27.7, 31.7, 24.5
1984, 3.65, 0.00014732, 2.17, 4.526, -0.044, 28.8, 32.5, 25.9
2048, 3.66, 0.00014286, 2.13, 4.523, -0.064, 26.7, 30.9, 23.6
2112, 3.67, 0.00013839, 2.09, 4.607, -0.042, 28.6, 32.6, 25.4
2176, 3.67, 0.00013393, 2.07, 4.614, -0.053, 27.8, 31.8, 24.7
2240, 3.71, 0.00012946, 2.04, 4.653, -0.061, 26.7, 31.0, 23.4
2304, 3.66, 0.000125, 2.01, 4.675, -0.049, 28.0, 32.1, 24.9
2368, 3.68, 0.00012054, 1.99, 4.806, -0.052, 28.1, 31.9, 25.1
2432, 3.63, 0.00011607, 1.96, 4.71, -0.058, 27.0, 31.3, 23.7
2496, 3.62, 0.00011161, 1.94, 4.803, -0.049, 27.6, 32.0, 24.3
2560, 3.62, 0.00010714, 1.92, 4.812, -0.051, 27.5, 31.8, 24.2
2624, 3.67, 0.00010268, 1.9, 4.829, -0.056, 27.3, 31.5, 24.1
2688, 3.66, 9.821e-05, 1.87, 4.891, -0.044, 28.1, 32.4, 24.8
2752, 3.65, 9.375e-05, 1.86, 4.875, -0.047, 27.8, 32.2, 24.5
2816, 3.72, 8.929e-05, 1.84, 4.918, -0.054, 27.2, 31.6, 23.9
2880, 3.62, 8.482e-05, 1.82, 5.001, -0.053, 27.5, 31.7, 24.3
2944, 3.7, 8.036e-05, 1.8, 4.979, -0.055, 27.4, 31.6, 24.3
3008, 3.67, 7.589e-05, 1.79, 5.05, -0.045, 28.3, 32.3, 25.2
3072, 3.71, 7.143e-05, 1.78, 5.038, -0.055, 27.1, 31.5, 23.7
3136, 3.68, 6.696e-05, 1.76, 5.083, -0.037, 28.9, 33.0, 25.7
3200, 3.63, 6.25e-05, 1.75, 5.096, -0.049, 27.7, 32.0, 24.5
3264, 3.67, 5.804e-05, 1.74, 5.161, -0.043, 28.3, 32.5, 25.0
3328, 3.66, 5.357e-05, 1.73, 5.134, -0.046, 27.9, 32.2, 24.6
3392, 3.65, 4.911e-05, 1.72, 5.112, -0.037, 28.7, 33.0, 25.4
3456, 3.66, 4.464e-05, 1.71, 5.157, -0.041, 28.3, 32.6, 24.9
3520, 3.65, 4.018e-05, 1.7, 5.118, -0.048, 27.9, 32.1, 24.6
3584, 3.62, 3.571e-05, 1.69, 5.206, -0.048, 27.7, 32.0, 24.3
3648, 3.66, 3.125e-05, 1.69, 5.105, -0.045, 28.0, 32.3, 24.6
3712, 3.65, 2.679e-05, 1.68, 5.251, -0.046, 27.9, 32.2, 24.6
3776, 3.66, 2.232e-05, 1.67, 5.186, -0.044, 28.0, 32.4, 24.7
3840, 3.63, 1.786e-05, 1.67, 5.225, -0.046, 28.0, 32.3, 24.8
3904, 3.69, 1.339e-05, 1.66, 5.233, -0.045, 27.8, 32.3, 24.4
3968, 3.66, 8.93e-06, 1.66, 5.21, -0.053, 27.3, 31.7, 24.0
4032, 3.75, 4.46e-06, 1.66, 5.191, -0.047, 27.9, 32.2, 24.6
4096, 3.76, 0.0, 1.66, 5.143, -0.045, 27.9, 32.3, 24.6
